SA1_7DIGITCODE_2016,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
5127303,90,182,459,33,65,6,262,183,9,1289
5127304,4,14,13,16,13,0,7,3,3,65
5127305,21,44,124,47,42,7,80,26,8,399
5127306,38,33,24,11,21,5,19,25,4,185
5127307,16,28,34,18,25,6,30,11,4,166
5127308,3,0,7,3,0,0,3,8,0,29
5127309,0,10,12,4,0,0,9,3,3,48
5127310,5,6,5,18,4,0,4,10,0,58
5127311,0,0,0,0,0,0,0,0,0,0
5127312,26,23,21,11,12,3,15,14,0,115
5127313,21,30,34,7,18,4,9,16,4,146
5127314,6,16,52,12,15,5,39,8,4,157
5127315,9,16,43,13,11,11,39,20,3,157
5127316,10,24,41,13,29,7,25,13,4,168
5127317,0,0,0,0,0,0,0,0,0,0
5127318,0,0,0,0,0,0,0,0,0,0
5127401,41,45,41,22,37,13,15,30,0,246
5127402,37,24,29,5,26,6,15,22,0,157
5127403,22,40,48,17,32,36,31,28,0,252
5127404,10,11,28,19,26,13,16,18,0,138
5127405,6,6,19,7,12,16,15,35,0,130
5127406,20,31,31,23,13,10,9,15,0,150
5127407,21,37,20,8,21,12,15,29,3,157
5127408,41,18,25,15,24,27,21,24,3,195
5127409,12,4,15,4,4,11,5,14,3,71
5127410,28,33,33,22,28,19,18,36,4,217
5127411,16,25,20,16,14,10,15,7,3,122
5127412,24,34,25,10,21,19,11,27,5,176
5127413,0,0,0,0,0,0,0,0,0,0
5127414,23,17,8,7,18,9,3,10,3,104
5127415,26,35,47,20,43,35,30,42,3,288
5127416,28,41,33,23,37,20,26,19,7,230
5127417,18,24,40,18,28,22,26,35,9,210
5127418,40,52,31,20,23,20,9,14,10,216
5127419,20,19,39,30,27,22,17,36,3,199
5127420,13,15,32,5,21,15,28,31,0,157
5127421,17,15,18,11,11,17,6,5,8,113
5127422,14,19,35,23,17,14,15,32,3,170
5127423,12,19,15,14,16,9,25,21,0,127
5127424,12,13,30,25,14,23,34,38,3,190
5127425,14,33,22,16,8,8,11,18,4,139
5127426,13,10,20,9,12,14,11,20,0,108
5127427,0,0,0,0,0,0,0,0,0,0
5127428,6,21,15,9,15,5,10,18,3,102
5127429,0,0,9,5,3,14,11,17,3,74
5127430,3,7,20,6,14,8,20,13,0,92
5127431,0,5,6,11,10,5,7,5,0,54
5127432,24,28,18,21,27,31,21,25,0,198
5127433,21,51,42,10,22,27,19,14,3,205
5127434,10,12,31,12,12,16,17,18,3,127
5127435,5,18,13,9,15,10,5,3,0,86
5127436,21,17,31,14,23,15,13,9,4,138
5127501,79,8,3,0,7,0,16,20,0,136
5127502,98,6,27,11,20,6,30,36,3,239
5127503,90,11,0,0,7,0,18,27,0,157
5127504,61,16,17,9,7,0,7,19,4,148
5127505,65,19,75,5,4,0,87,35,3,295
5127506,117,9,4,5,12,3,18,36,0,208
5127507,0,0,0,0,0,0,0,0,0,0
5127508,13,12,25,5,6,6,18,11,0,99
5127509,4,6,13,5,3,0,6,6,3,47
5127510,58,4,4,0,4,4,6,15,0,93
5127511,19,6,7,3,11,4,19,14,0,75
5127512,20,26,42,12,17,9,18,20,7,174
5127513,0,0,0,0,0,0,0,0,0,3
