SA1_7DIGITCODE_2016,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
5102207,43,1560,545,300,1139,0.7,1019,2.3
5102208,42,1638,656,350,1916,0.7,1521,2.8
5102209,49,1857,557,295,1142,0.6,1075,2
5102210,48,1544,475,280,1053,0.6,819,2
5102211,35,2000,632,393,2020,0.7,1792,2.8
5102212,48,1842,550,300,1471,0.7,1221,2.4
5102213,45,1668,487,300,1352,0.6,1125,2.4
5102214,53,2205,608,328,1593,0.7,1369,2.2
5102215,41,1733,487,323,1361,0.7,1241,2.5
5102216,57,1560,492,340,1268,0.6,1125,2
5102217,56,1200,489,225,887,0.6,754,1.9
5102218,45,1517,481,340,1021,0.8,888,2.1
5102219,43,2529,623,345,2100,0.7,1958,2.9
5102220,36,1695,537,300,1424,0.7,1260,2.5
5102301,39,1465,398,220,1047,0.7,769,2.4
5102302,40,1950,474,200,1542,0.6,1375,2.4
5102303,47,2167,661,0,2392,0.7,2107,2.8
5102304,68,1694,441,300,923,0.8,756,2
5102306,48,1517,435,300,911,0.7,780,2.1
5102307,42,1625,493,300,1176,0.7,1021,2.4
5102308,30,1300,489,300,1161,0.7,1076,2.6
5102309,47,1950,652,350,2033,0.7,2042,3
5102310,42,2050,642,390,1895,0.7,1892,2.9
5102311,41,1509,536,300,1286,0.7,1125,2.3
5102312,41,1365,474,260,1410,0.7,1109,2.4
5102314,41,1335,589,280,1292,0.7,1059,2.3
5102315,39,1207,450,280,900,0.7,817,2.2
5102316,70,1300,438,226,904,0.7,773,1.9
5102317,29,1570,583,330,1352,0.8,1288,2.6
5102318,42,1421,461,310,949,0.7,922,2.4
5102319,38,1520,445,310,1007,0.7,928,2.5
5102320,35,1400,463,300,1021,0.7,937,2.5
5102321,0,0,0,0,0,0,0,0
5102322,81,0,413,29,780,0.7,646,1.4
5102323,36,1499,445,300,988,0.7,861,2.3
5102324,36,1500,633,290,1531,0.8,1406,2.4
5102325,31,1690,592,350,1615,0.8,1508,2.8
5102326,37,1505,485,295,1192,0.7,1033,2.4
5102401,59,2167,924,450,2100,0.6,1897,2.1
5102402,61,2925,841,350,2156,0.5,1625,2
5102403,43,1950,627,317,1843,0.8,1699,2.7
5102404,44,2058,597,325,1562,0.7,1196,2.2
5102405,44,2000,615,300,1625,0.8,1362,2.4
5102406,46,1725,627,355,1728,0.6,1525,2.5
5102407,45,1733,579,345,1609,0.6,1346,2.4
5102408,68,2058,460,420,1032,0.8,767,1.9
5102409,42,1517,488,280,953,0.6,820,1.9
5102410,35,1950,703,395,2388,0.8,2276,3.4
5102411,43,1625,538,330,1649,0.6,1343,2.4
5102412,43,1950,553,343,2091,0.7,1575,2.5
5102413,41,1911,486,300,1202,0.7,1078,2.7
5102414,40,1775,497,338,1402,0.7,1168,2.4
5102415,46,1876,548,335,1562,0.7,1336,2.5
5102416,35,2167,702,400,1978,0.7,1842,2.8
5102417,32,1767,630,360,1740,0.7,1649,3.1
5102418,0,0,0,0,0,0,0,0
5102419,41,2000,438,330,1178,0.7,1013,2.8
5102420,68,1517,454,310,1086,0.7,598,1.7
5102421,34,2080,749,400,2187,0.7,2016,3
5102422,36,1674,503,350,1542,0.7,1261,2.6
5102423,37,1733,575,365,1625,0.7,1319,2.6
5102424,42,2150,606,375,2021,0.7,1916,2.9
5102425,47,1559,483,300,1359,0.6,1147,2.3
5102426,47,1863,469,335,1062,0.6,844,2.3
5102427,29,2200,713,400,2125,0.8,2067,3.2
5102428,36,1733,507,345,1525,0.7,1343,2.6
5102429,59,2145,593,400,1342,0.6,1208,2.2
5102430,43,1733,617,300,1397,0.7,1070,2.1
5102431,52,1975,487,360,1375,0.5,1080,2.1
5102432,49,1668,486,350,1312,0.6,1125,2.5
5102433,56,2715,786,395,1792,0.6,1702,2.2
5102434,52,1700,473,310,1286,0.6,1017,2.3
5102436,42,1950,623,415,2104,0.7,2017,2.8
5102437,47,1924,511,367,1221,0.6,1035,2.3
5102438,79,0,444,369,794,0.8,666,1.4
5102439,34,2167,589,400,1859,0.7,1792,3
5102440,34,2039,628,400,1906,0.8,1812,3.1
5102441,0,0,0,0,0,0,0,0
5102501,49,1500,528,290,1273,0.7,940,1.7
5102503,57,1300,428,250,773,0.8,633,1.6
5102504,51,1300,483,268,971,0.7,702,1.6
5102505,47,1613,676,360,1781,0.7,1562,2.4
5102506,41,1868,581,325,1275,0.6,1073,2.2
5102507,47,1817,555,305,1424,0.6,1156,2.4
5102508,40,1409,519,300,1031,0.6,776,1.9
5102509,50,1209,453,250,959,0.7,685,1.8
5102510,69,1500,449,179,912,0.8,601,1.7
5102511,45,1339,489,300,1014,0.7,804,1.9
5102512,39,1222,460,270,959,0.7,715,1.8
5102513,54,1517,472,250,1075,0.7,748,1.6
5102514,40,1404,474,300,1022,0.6,833,2.1
5102515,37,1153,465,263,877,0.8,765,2
5102516,40,1083,451,280,1103,0.7,884,2.2
5102517,44,1434,483,255,989,0.7,718,1.7
5102518,45,1509,483,270,1012,0.7,827,2
5102519,37,1517,472,290,1107,0.7,1010,2.3
5102520,46,1196,482,280,1056,0.7,820,2
5102522,28,1518,833,320,1437,0.7,1481,2
5102523,54,2350,877,480,2237,0.7,1989,2
5102524,0,0,0,0,0,0,0,0
5102525,30,0,0,0,0,0,0,0
5102526,48,2600,623,300,1212,0.8,959,1.8
5102601,43,2000,553,315,1792,0.8,1702,3.2
5102602,45,2000,535,250,2015,0.8,1819,2.8
5102603,51,2167,517,350,1383,0.6,1242,2.3
5102604,56,1935,544,345,1359,0.6,1229,2.2
