SA1_7DIGITCODE_2016,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_v,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_v,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_v,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_v,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Total_OS_v,P_Total_Total
5126311,3,5,0,3,0,8,3,32,0,0,0,3,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,22,5,23,17,39,6,151
5126312,12,15,8,0,11,15,0,59,8,4,7,3,9,9,0,41,3,4,0,0,3,3,0,14,0,0,0,0,3,0,0,6,78,91,30,33,73,102,0,401
5126313,4,0,0,0,3,3,0,14,0,0,0,0,3,0,0,7,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,3,58,34,3,3,54,27,4,175
5126314,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,3,0,0,46
5126315,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,3,0,7,3,0,38
5126316,38,38,20,9,66,28,0,201,15,25,25,7,49,22,12,159,6,3,3,0,14,3,0,34,0,0,0,0,0,0,0,3,170,183,80,36,221,173,34,897
5126317,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,3,0,0,0,0,26
5126318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5126319,3,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,50,0,0,0,16,0,79
5126320,9,0,0,0,0,0,0,12,3,0,0,0,3,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,73,4,0,0,20,12,0,107
5126321,6,8,4,0,0,0,0,22,4,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,28,34,3,32,12,3,151
5126322,9,3,5,6,8,3,0,26,0,4,0,0,6,0,0,13,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,4,73,40,38,77,102,5,0,336
5126323,14,12,4,0,6,0,0,44,3,3,0,0,8,0,0,17,0,0,0,0,3,0,0,7,0,0,0,0,6,3,0,9,89,61,42,9,83,38,3,334
5126324,0,0,8,3,0,0,0,14,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,28,46,9,0,0,106
5126325,4,8,0,0,8,0,0,19,3,3,3,4,3,8,0,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,35,12,9,15,14,6,94
5126326,4,8,3,0,0,0,0,19,3,3,3,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,62,118,30,3,23,21,3,264
5126327,3,0,0,0,3,3,0,14,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,9,11,12,13,0,76
5126328,7,8,10,6,9,0,0,45,4,9,0,8,9,3,0,36,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,47,48,26,22,38,15,0,201
5126329,3,3,0,14,3,0,0,21,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,21,24,33,97,23,24,0,219
5126330,6,4,0,0,0,0,3,16,4,5,6,0,3,0,0,21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,23,20,9,0,6,4,3,73
5126401,22,11,5,9,15,16,0,72,13,6,0,0,12,3,0,37,0,0,0,0,13,0,0,18,0,0,0,0,3,0,0,3,131,75,37,16,128,121,8,515
5126402,17,17,10,0,34,8,0,79,11,15,12,0,32,3,4,85,0,3,0,0,7,3,0,9,0,0,0,0,0,0,0,0,88,57,34,11,125,39,28,381
5126403,0,0,0,0,0,3,0,8,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,3,3,0,46,3,92
5126404,24,28,12,3,30,25,5,129,19,19,3,5,25,13,3,93,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,3,168,115,37,28,126,135,32,636
5126405,0,0,0,0,6,4,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,13,0,0,38,36,0,99
5126406,13,5,0,5,8,3,0,34,9,9,3,3,25,3,3,55,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,91,31,25,20,95,102,21,386
5126407,10,0,0,0,6,4,0,22,3,3,0,0,3,3,0,8,3,0,0,0,4,5,0,8,0,0,0,0,0,0,0,3,99,27,4,4,26,134,0,294
5126408,3,5,0,0,0,5,0,13,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,19,3,0,20,23,0,89
5126409,0,3,0,0,7,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,14,3,0,27,24,0,101
5126410,11,4,0,0,5,0,0,27,11,0,0,0,8,0,0,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,143,60,14,8,38,17,38,308
5126411,7,11,0,0,3,3,0,23,5,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,48,5,8,32,12,0,167
5126501,8,13,12,4,3,3,0,44,4,5,4,3,0,0,0,10,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,40,48,26,16,19,6,0,163
5126502,11,7,3,0,3,4,0,22,4,0,0,0,7,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,51,52,10,11,34,28,0,187
5126503,16,25,5,3,29,30,0,112,10,17,8,8,19,27,0,91,3,0,0,3,3,4,0,10,0,0,0,0,0,0,0,8,57,79,18,28,109,118,46,453
5126504,10,14,4,4,37,44,13,124,14,19,0,4,43,48,7,141,4,3,0,0,10,10,0,31,0,0,0,0,0,0,0,0,88,86,31,20,147,254,51,679
5126505,9,12,7,3,3,7,0,46,4,0,0,0,5,3,0,20,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,93,106,39,32,49,63,0,377
5126506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
5126507,25,22,13,7,21,10,3,94,10,23,5,10,16,3,0,65,0,0,0,0,6,7,0,14,0,0,0,0,0,0,0,0,119,153,56,45,96,50,8,522
5126508,33,46,12,10,43,15,0,167,21,32,25,16,38,13,3,144,7,3,3,3,5,5,0,31,0,0,0,0,0,0,0,3,166,182,76,61,149,88,16,735
