SA1_7DIGITCODE_2016,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,Inc_1_149_Family_hholds,Inc_1_149_NonFamHholds,Inc_1_149_Tot,Inc_150_299_Family_hholds,Inc_150_299_NonFamHholds,Inc_150_299_Tot,Inc_300_399_Family_hholds,Inc_300_399_NonFamHholds,Inc_300_399_Tot,Inc_400_499_Family_hholds,Inc_400_499_NonFamHholds,Inc_400_499_Tot,Inc_500_649_Family_hholds,Inc_500_649_NonFamHholds,Inc_500_649_Tot,Inc_650_799_Family_hholds,Inc_650_799_NonFamHholds,Inc_650_799_Tot,Inc_800_999_Family_hholds,Inc_800_999_NonFamHholds,Inc_800_999_Tot,Inc_1000_1249_Family_hholds,Inc_1000_1249_NonFamHholds,Inc_1000_1249_Tot,Inc_1250_1499_Family_hholds,Inc_1250_1499_NonFamHholds,Inc_1250_1499_Tot,Inc_1500_1749_Family_hholds,Inc_1500_1749_NonFamHholds,Inc_1500_1749_Tot,Inc_1750_1999_Family_hholds,Inc_1750_1999_NonFamHholds,Inc_1750_1999_Tot,Inc_2000_2499_Family_hholds,Inc_2000_2499_NonFamHholds,Inc_2000_2499_Tot,Inc_2500_2999_Family_hholds,Inc_2500_2999_NonFamHholds,Inc_2500_2999_Tot,Inc_3000_3499_Family_hholds,Inc_3000_3499_NonFamHholds,Inc_3000_3499_Tot,Inc_3500_3999_Family_hholds,Inc_3500_3999_NonFamHholds,Inc_3500_3999_Tot,Inc_4000orMore_Family_hholds,Inc_4000orMore_NonFamHholds,Inc_4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
5100219,0,0,0,3,3,5,0,3,9,0,12,10,11,21,29,3,6,11,11,9,24,5,7,9,13,0,18,14,7,15,8,3,12,3,3,3,9,3,15,3,3,6,3,0,3,7,0,5,8,0,13,18,3,18,3,3,8,115,90,204
5100220,3,0,3,0,0,0,0,9,9,0,13,13,4,28,38,0,17,15,7,11,22,15,6,23,16,8,24,11,0,14,5,4,10,14,3,12,15,3,16,6,0,6,3,0,3,0,0,0,6,0,6,11,0,12,0,10,12,121,125,248
5100222,3,0,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,12,0,11,8,0,8,4,0,8,8,0,8,12,0,12,15,0,15,17,0,17,10,0,10,8,4,8,12,0,12,28,0,28,3,0,3,136,7,145
5100223,0,0,0,0,0,0,0,0,0,0,3,3,0,3,5,0,0,3,3,0,3,0,0,5,13,0,13,3,0,9,9,0,9,3,0,3,5,0,5,3,0,3,3,0,3,9,0,9,7,0,7,16,0,16,0,0,3,80,11,92
5100224,3,4,4,0,0,0,0,0,0,0,3,3,0,3,3,3,0,6,3,0,7,10,0,10,10,0,6,11,0,11,5,0,5,10,0,10,13,0,13,6,0,6,4,0,4,3,0,3,5,0,5,16,0,18,0,0,0,97,15,112
5100226,3,0,3,0,0,0,0,3,3,0,0,0,3,5,6,3,3,4,4,3,10,4,3,12,5,3,4,11,0,7,4,0,4,6,0,6,13,3,16,12,0,12,3,0,3,6,0,8,6,0,6,21,0,21,3,0,3,105,28,130
5100227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,3,0,3,8,0,8,8,0,8,3,0,3,0,0,0,8,0,8,8,0,8,3,0,3,40,4,38
5100229,0,3,5,0,3,5,0,0,3,0,3,3,7,4,12,7,3,15,14,3,15,3,4,10,10,0,11,16,4,16,12,0,9,7,0,12,17,3,19,19,3,21,7,0,7,3,3,6,7,0,7,26,3,23,4,6,10,160,52,207
5100230,0,0,3,0,0,0,0,4,4,0,5,5,3,12,17,3,3,6,13,3,19,11,4,15,6,3,9,6,3,5,0,0,0,0,0,0,6,0,6,3,0,3,8,0,8,3,0,4,7,0,7,3,0,7,0,9,11,66,57,125
5100231,0,0,3,0,0,0,3,0,3,0,3,0,3,0,5,0,0,0,10,0,8,5,0,3,11,0,10,10,3,16,3,0,3,5,0,7,27,3,25,14,0,14,10,0,10,6,3,8,5,0,5,14,0,17,0,0,0,134,23,157
