SA1_7DIGITCODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,INA_DS_Separate_house,INA_DS_SemD_ro_tr_h_th,INA_DS_Flat_or_Apart,INA_DS_Other_dwelling,INA_DS_Not_stated,INA_Total,INS_DS_Separate_house,INS_DS_SemD_ro_tr_h_th,INS_DS_Flat_or_Apart,INS_DS_Other_dwelling,INS_DS_Not_stated,INS_DS_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
5103415,10,39,166,0,0,216,0,3,34,0,0,34,0,3,6,0,0,11,10,39,206,0,0,258
5103416,113,27,0,0,0,140,5,0,0,0,0,11,0,0,0,0,0,3,119,31,0,0,0,150
5103417,86,4,0,0,0,91,3,0,0,0,0,3,9,0,0,0,0,9,101,4,0,0,0,99
5103418,80,0,0,0,0,80,5,0,0,0,0,5,0,0,0,0,0,0,91,0,0,0,0,91
5103419,85,0,0,0,0,85,9,0,0,0,0,9,0,0,0,0,0,0,91,0,0,0,0,91
5103420,123,0,35,0,0,156,10,0,16,0,0,26,0,0,0,0,0,0,134,3,51,0,0,186
5103421,107,65,110,0,0,277,8,13,36,0,0,55,0,0,8,0,0,12,113,82,143,0,0,345
5103422,120,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,124
5103423,107,0,0,0,0,107,4,0,0,0,0,4,0,0,0,0,0,0,113,0,0,0,0,115
5103424,8,124,72,0,0,200,3,27,18,0,0,44,0,6,0,0,0,6,9,154,86,0,0,248
5103501,73,0,0,0,0,73,0,0,0,0,0,0,3,0,0,0,0,3,78,0,0,0,0,78
5103502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5103503,123,0,14,0,0,137,0,0,10,0,0,6,0,0,0,0,0,4,128,0,24,0,0,151
5103504,11,47,113,0,0,174,0,11,21,0,0,33,0,0,8,0,0,8,11,60,144,0,0,212
5103505,0,22,197,0,0,224,3,0,28,0,0,28,0,0,5,0,0,5,5,26,226,0,0,260
5103506,31,51,73,0,0,152,0,3,9,0,0,12,0,0,3,0,0,3,31,52,84,0,0,172
5103507,12,43,71,0,0,119,3,0,19,0,0,23,0,0,0,0,0,0,15,40,84,0,0,140
5103508,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
5103509,47,14,0,0,0,61,4,0,0,0,0,5,0,0,0,0,0,0,47,17,3,0,0,66
5103510,133,8,32,0,0,181,4,3,0,0,0,9,0,0,0,0,0,4,141,15,32,0,0,190
5103511,120,31,9,0,0,164,0,3,0,0,0,4,0,0,0,0,0,0,119,39,9,0,0,167
5103512,120,56,20,0,0,188,0,0,8,0,0,4,3,0,5,0,0,6,122,53,25,0,0,203
5103513,188,0,0,0,0,194,10,0,0,0,0,10,3,0,0,0,0,3,203,4,0,0,0,209
5103514,123,7,18,0,0,154,4,0,0,0,0,8,0,0,3,0,0,4,133,7,22,0,0,166
5103515,99,0,0,0,0,100,5,0,0,0,0,5,0,0,0,0,0,0,106,0,0,0,0,104
5103516,108,5,8,0,0,122,7,3,3,0,0,9,3,3,0,0,0,8,117,6,13,0,0,138
5103517,128,9,8,0,0,147,4,0,0,0,0,4,0,0,0,0,0,0,137,9,8,0,0,151
5103518,106,0,0,0,0,112,3,0,0,0,0,3,3,0,0,0,0,3,113,0,0,0,0,115
5103519,87,0,0,0,0,86,6,0,0,0,0,6,3,0,0,0,0,3,96,0,0,0,0,94
5103520,115,0,0,0,0,115,10,0,0,0,0,10,0,0,0,0,0,0,121,0,0,0,0,121
5103521,122,117,36,0,0,270,7,5,7,0,0,19,3,0,0,0,0,8,126,122,44,0,0,299
5103522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
5103523,8,34,204,0,0,243,0,0,17,0,0,18,0,0,0,0,0,3,4,36,218,0,0,263
5103524,0,27,17,0,0,45,0,0,0,0,0,3,0,0,0,0,0,0,0,25,23,0,0,53
5103525,159,8,0,0,0,170,8,0,0,0,0,8,3,0,0,0,0,3,174,8,0,0,0,179
5103526,98,3,0,0,0,105,5,0,0,0,0,8,3,0,0,0,0,3,101,6,0,0,0,109
5103527,85,29,35,0,0,140,0,4,0,0,0,6,3,0,0,0,0,7,87,32,39,0,0,157
5103528,158,0,0,0,0,160,11,3,0,0,0,10,0,0,0,0,0,0,165,3,0,0,0,172
5103529,95,0,0,0,0,95,4,0,0,0,0,4,0,0,0,0,0,0,99,0,0,0,0,99
5103530,89,10,0,0,0,104,3,0,0,0,0,3,4,0,0,0,0,5,99,11,0,0,0,112
5103531,120,0,0,0,0,120,7,0,0,0,0,7,3,0,0,0,0,3,125,0,0,0,0,125
5103532,189,0,0,0,0,189,4,0,0,0,0,4,5,0,0,0,0,5,200,0,0,0,0,200
5103533,194,22,0,0,0,218,9,3,0,0,0,12,3,0,0,0,0,3,206,28,0,0,0,235
5103534,42,25,0,0,0,65,0,47,3,0,0,50,0,0,0,0,0,0,43,72,3,0,0,117
5103535,122,44,18,0,0,185,5,3,5,0,0,14,0,0,0,0,0,3,126,50,28,0,0,199
5103536,107,39,10,0,0,163,5,5,0,0,0,12,3,0,0,0,0,3,117,41,10,0,0,175
5103537,126,0,0,0,0,126,3,0,0,0,0,3,0,0,0,0,0,0,127,0,0,0,0,127
5103538,136,19,0,0,0,156,3,0,0,0,0,4,0,0,0,0,0,0,144,18,0,0,0,167
5103539,56,63,44,0,0,161,4,8,3,0,0,10,0,6,0,0,0,9,64,67,47,0,0,180
5103540,142,7,0,0,0,153,5,0,0,0,0,8,0,0,0,0,0,0,154,8,0,0,0,163
5103541,144,3,0,0,0,146,3,0,0,0,0,3,3,0,0,0,0,3,147,3,0,0,0,147
5103601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5103602,91,42,26,0,0,158,0,0,21,0,0,19,0,0,3,0,0,3,89,42,49,0,0,179
5103603,133,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,136
5103604,82,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,84
5103605,98,12,12,0,0,121,11,0,10,0,0,21,0,0,4,0,0,4,106,16,28,0,0,142
5103606,115,14,31,0,0,157,12,0,30,0,0,42,0,0,0,0,0,4,132,14,59,0,0,202
5103607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5103608,96,3,0,0,0,99,9,0,0,0,0,10,3,0,0,0,0,3,105,6,0,0,0,111
5103609,149,16,0,5,0,166,5,0,0,0,0,5,0,0,0,0,0,0,153,16,0,5,0,177
5103610,63,4,0,0,0,74,3,0,0,0,0,3,0,0,0,0,0,0,69,4,0,0,0,78
5103611,138,25,32,0,0,203,0,0,4,0,0,11,9,0,0,0,0,9,150,29,41,0,0,219
5103612,165,16,0,0,0,182,8,0,0,0,0,8,3,0,0,0,0,3,182,16,0,0,0,193
5103613,62,22,0,0,0,80,3,0,0,0,0,3,0,0,0,0,0,0,68,24,0,0,0,90
5103614,95,53,0,0,0,149,9,0,0,0,0,9,0,0,0,0,0,0,109,53,0,0,0,161
5103615,34,3,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,34,3,0,0,0,38
5103616,84,0,0,0,0,81,3,0,0,0,0,3,0,0,0,0,0,0,90,0,0,0,0,90
5103617,129,9,3,0,0,148,8,0,0,0,0,8,3,0,0,0,0,3,138,9,3,0,0,156
5103618,35,79,0,0,0,116,0,4,0,0,0,4,0,3,0,0,0,3,40,78,0,0,0,118
5103619,133,70,0,0,0,202,3,18,0,0,0,28,0,12,0,0,0,8,141,100,0,0,0,239
5103620,113,0,0,0,0,112,3,0,0,0,0,3,0,0,0,0,0,0,114,0,0,0,0,118
5103621,81,19,0,0,0,104,17,11,0,0,0,30,0,0,0,0,0,0,99,37,0,0,0,131
5103622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5103623,113,13,0,0,0,121,5,0,0,0,0,5,8,0,0,0,3,10,119,13,0,0,3,139
5103624,94,10,28,0,0,129,4,0,11,0,0,17,3,0,0,0,0,3,95,10,45,0,0,156
5103625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5103701,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10
5103801,73,13,27,0,0,116,6,3,0,0,0,13,3,0,0,0,0,3,79,23,25,0,0,132
5103802,15,84,83,0,0,182,0,6,31,0,0,38,0,4,4,0,0,4,14,90,121,0,0,225
5103803,31,149,14,0,0,199,0,8,0,0,0,10,0,0,0,0,0,3,32,163,14,0,0,211
5103804,83,16,8,3,0,112,4,0,0,0,0,11,3,0,0,0,0,3,96,14,8,3,0,122
5103805,95,20,0,0,0,119,10,0,0,0,0,10,9,0,0,0,0,9,117,20,0,0,0,140
5103806,81,81,73,0,0,232,6,7,3,0,0,13,0,0,4,0,0,7,89,88,82,0,0,258
5103807,53,27,3,0,0,89,11,3,0,0,0,12,6,0,0,0,0,6,68,32,3,0,0,100
5103808,19,53,30,10,0,110,0,4,3,0,0,11,0,0,0,0,0,0,21,59,38,10,0,124
5103809,29,102,15,0,0,147,3,19,0,0,0,24,3,0,0,0,0,3,38,123,15,0,0,176
5103810,121,17,3,0,0,135,12,0,0,0,0,13,3,0,0,0,0,6,139,17,3,0,0,156
5103811,111,43,0,0,0,157,4,10,0,0,0,16,3,4,0,0,0,4,123,57,0,0,0,181
5103812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5103813,159,13,0,0,0,170,12,0,0,0,0,12,0,0,0,0,0,0,168,13,0,0,0,182
5103814,49,52,3,0,0,99,5,11,0,0,0,17,0,0,0,0,0,4,54,61,4,0,0,124
5103815,96,9,0,0,0,103,3,10,0,0,0,19,3,0,0,0,0,3,102,27,0,0,0,130
5103816,85,10,0,0,0,98,7,0,0,0,0,7,0,0,0,0,0,0,94,10,0,0,0,101
5103817,153,14,0,0,0,174,17,0,0,0,0,23,8,0,0,0,0,8,180,20,7,0,0,200
5103818,92,4,5,3,0,105,6,0,0,0,0,10,0,0,0,0,0,0,97,4,8,3,0,114
5103819,90,0,0,0,0,90,12,0,0,0,0,12,0,0,0,0,0,0,99,0,0,0,0,99
5103820,101,7,0,0,0,111,5,3,0,0,0,11,0,0,0,0,0,0,113,15,0,0,0,120
5103821,79,4,0,0,0,87,7,0,0,0,0,8,0,0,0,0,0,0,89,3,0,0,0,90
5103822,183,16,0,0,0,205,22,0,0,0,0,22,4,0,0,0,0,3,211,19,0,0,0,233
5103823,81,3,0,0,0,85,11,0,0,0,0,11,0,0,0,0,0,0,96,3,0,0,0,97
5103824,115,3,0,0,0,114,21,0,0,0,0,21,3,0,0,0,0,3,140,3,0,0,0,142
5103825,84,3,0,9,0,91,20,0,0,0,0,20,0,0,0,0,0,0,96,3,0,9,0,114
5103826,160,18,35,3,0,214,17,3,4,0,0,20,3,0,0,0,0,3,176,17,40,3,0,237
5103827,75,19,5,0,0,97,7,0,0,0,0,10,0,0,0,0,0,0,83,20,6,0,0,111
5103828,121,11,4,0,0,138,10,0,0,0,0,10,3,0,0,0,0,8,132,17,4,0,0,150
5103901,79,3,3,0,0,88,4,0,6,0,0,5,0,0,0,0,0,0,83,3,8,0,0,96
5103902,103,22,18,0,0,150,4,0,4,0,0,10,3,0,0,0,0,3,115,22,24,0,0,158
5103903,82,42,21,3,0,149,6,0,6,0,0,15,0,0,0,0,0,0,91,42,23,3,0,164
5103904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5103905,42,52,69,0,0,165,3,6,10,0,0,19,0,0,3,0,0,3,50,56,80,0,0,187
5103906,83,11,31,0,0,128,3,0,10,0,0,15,0,0,0,0,0,6,87,15,42,0,0,147
5103907,104,4,8,0,0,121,10,0,5,0,0,17,0,0,0,0,0,0,114,4,17,0,0,136
5103908,110,30,44,0,3,182,20,0,6,0,0,32,3,0,0,0,0,3,132,26,53,0,3,213
5103909,56,8,47,0,0,112,4,0,8,0,0,19,0,0,3,0,0,3,68,8,60,0,0,134
5103910,104,37,71,3,0,208,12,0,9,0,0,24,3,3,0,0,0,9,115,38,77,3,0,243
5103911,70,18,45,0,0,130,17,7,0,0,0,26,0,0,0,0,0,3,94,19,48,0,0,156
5103912,88,32,52,0,0,174,9,6,5,0,0,21,3,0,3,0,0,7,102,40,59,0,0,204
5103913,85,49,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,85,53,0,0,0,137
5103914,41,8,123,0,0,166,3,0,19,0,0,19,0,0,6,0,0,9,42,10,146,0,0,198
5103915,52,26,9,0,0,87,0,0,9,0,0,11,4,0,3,0,0,4,59,28,15,0,0,102
5103916,112,0,3,0,0,122,5,0,7,0,0,11,0,0,0,0,0,0,124,0,12,0,0,133
5103917,53,49,81,0,0,181,7,3,7,0,0,19,4,0,0,0,0,4,56,55,85,0,0,200
5103918,144,4,10,3,0,165,10,0,3,0,0,14,4,0,0,0,0,3,156,8,11,6,0,184
5103919,43,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,48
5103920,133,0,9,0,0,141,10,0,0,0,0,13,4,0,0,0,0,4,144,0,12,0,0,158
5103921,148,6,0,0,0,161,7,0,0,0,0,10,3,0,0,0,0,3,161,14,0,0,0,174
5103922,97,55,33,0,0,190,3,3,4,0,0,13,0,5,0,0,0,5,101,67,39,0,0,206
5103923,21,70,83,0,0,176,3,3,24,0,0,25,3,3,4,0,0,9,23,74,105,0,0,205
5103924,41,56,105,0,0,207,0,7,17,0,0,27,3,0,3,0,0,4,45,65,130,0,0,241
5103925,78,76,37,0,0,187,8,11,4,0,0,23,3,4,3,0,0,4,89,90,42,0,0,219
5103926,59,54,0,0,0,116,0,3,0,0,0,4,0,0,0,0,0,0,62,55,0,0,0,118
5103927,87,16,14,0,0,122,4,3,6,0,0,11,0,0,0,0,0,3,90,26,25,0,0,138
5103928,115,20,17,0,0,152,11,0,3,0,0,16,3,0,0,0,0,4,132,24,20,0,0,173
5103929,92,75,77,0,0,244,3,4,15,0,0,28,0,5,4,0,0,7,96,86,93,0,0,280
5103930,65,92,72,0,0,233,11,12,17,0,0,45,0,3,6,0,0,6,80,112,100,0,0,285
5103931,83,5,28,0,0,113,14,0,3,0,0,17,3,0,0,0,0,3,95,6,29,0,0,132
5103932,118,15,39,0,0,176,10,4,3,0,0,15,0,0,0,0,0,0,131,19,46,0,0,190
5103933,61,84,68,0,0,214,4,9,38,0,0,52,0,0,3,0,0,5,70,94,110,0,0,271
5103934,109,3,0,0,0,111,11,0,0,0,0,11,3,0,0,0,0,3,119,3,0,0,0,124
5103935,90,32,32,0,0,154,3,3,32,0,0,39,0,5,0,0,0,12,98,42,60,0,0,203
5103936,111,6,0,0,0,119,6,3,0,0,0,7,0,0,0,0,0,0,122,4,0,0,0,129
5103937,103,7,0,0,0,109,12,0,0,0,0,12,0,0,0,0,0,0,119,7,0,0,0,122
5103938,102,3,0,0,0,104,11,0,0,0,0,11,0,0,0,0,0,0,120,3,0,0,0,121
5103939,110,0,0,0,0,112,9,0,0,0,0,9,0,0,0,0,0,0,117,0,0,0,0,121
5104001,87,36,20,0,0,147,15,4,3,0,0,26,4,0,0,0,0,6,105,38,24,0,0,173
5104002,112,65,12,0,0,184,19,3,10,0,0,31,6,0,0,0,0,6,136,65,20,0,0,221
5104003,124,37,7,0,0,164,24,4,0,0,0,22,0,0,0,0,0,0,144,36,7,0,0,193
5104004,81,21,8,0,0,100,4,0,0,0,0,3,3,0,0,0,0,4,84,23,8,0,0,110
5104005,109,34,0,0,0,143,10,0,0,0,0,14,4,3,0,0,0,4,125,35,0,0,0,165
5104006,134,43,36,0,0,217,11,4,4,0,0,23,3,0,0,0,0,3,152,44,48,0,0,241
5104007,147,7,0,0,0,154,14,0,0,0,0,11,3,0,0,0,0,3,161,12,0,0,0,173
5104008,82,14,0,0,0,105,11,0,0,0,0,11,0,0,0,0,0,4,96,17,0,0,0,118
5104009,121,18,12,0,0,152,15,11,0,0,0,25,0,0,0,0,0,0,139,31,12,0,0,174
5104010,100,42,6,0,0,147,11,0,0,0,0,13,4,0,0,0,0,5,110,41,6,0,0,164
5104011,132,12,3,0,0,141,23,0,9,0,0,35,4,0,0,0,0,8,157,10,14,0,0,181
5104012,60,16,17,0,0,96,8,0,3,0,0,12,3,0,0,0,0,5,72,11,21,0,0,106
5104013,126,6,0,0,3,133,8,0,0,0,0,8,0,0,0,0,0,0,134,4,0,0,3,145
5104014,88,18,6,0,0,116,11,3,8,0,0,19,5,0,3,0,0,10,103,21,18,0,3,146
5104015,10,67,68,0,0,143,0,14,27,0,0,42,0,0,0,0,0,0,10,78,98,0,0,190
5104016,58,27,0,0,0,82,3,3,0,0,0,12,0,0,0,0,0,0,68,26,0,0,0,96
5104017,59,37,95,0,0,186,16,3,0,0,0,21,3,0,0,0,0,5,80,35,95,0,0,211
5104018,69,44,0,0,0,118,15,0,0,0,0,14,3,0,0,0,0,3,90,44,0,0,0,137
5104019,113,9,3,0,0,124,19,0,0,0,0,20,3,0,0,0,0,3,129,12,0,0,0,146
5104020,78,23,4,0,0,108,7,15,0,0,0,27,3,3,0,0,0,7,89,44,4,0,0,138
5104021,82,45,7,0,0,135,15,13,3,0,0,27,0,0,0,0,0,3,98,56,11,0,0,166
5104102,0,50,184,0,0,230,0,4,17,0,0,18,0,0,3,0,0,3,0,54,204,0,0,258
5104103,0,0,186,0,14,198,0,0,17,0,7,20,0,0,7,0,0,7,0,0,209,0,18,223
5104104,0,0,166,0,0,170,0,0,24,0,0,24,0,0,8,0,0,8,0,0,195,0,0,197
5104105,3,10,182,0,0,197,4,5,45,0,0,54,0,0,9,0,0,9,7,18,241,0,0,268
5104106,4,0,156,0,0,156,0,0,61,0,0,61,0,0,6,0,0,9,3,0,221,0,0,226
5104107,0,15,141,0,0,155,0,0,15,0,0,15,0,0,0,0,0,0,0,15,163,0,0,174
5104113,23,97,52,0,0,167,3,0,0,0,0,4,0,3,0,0,0,3,23,100,55,0,0,175
5104114,0,42,95,0,0,142,0,0,8,0,0,8,0,0,3,0,0,3,0,43,106,0,0,155
5104115,4,42,78,0,0,133,0,0,8,0,0,13,0,0,3,0,0,3,5,49,94,0,0,145
5104116,0,70,67,4,0,140,0,0,12,0,0,10,0,0,0,0,0,3,0,73,81,3,0,155
5104118,0,0,206,0,3,210,0,0,14,0,0,14,0,0,7,0,0,7,0,0,234,0,3,240
5104119,102,9,0,0,0,109,4,0,0,0,0,4,0,0,0,0,0,0,108,9,0,0,0,114
5104120,124,36,180,0,0,347,8,0,38,0,0,50,0,0,3,0,0,4,136,40,220,0,0,399
5104122,39,86,79,0,0,201,8,6,11,0,0,28,0,4,6,0,0,8,42,99,96,0,0,240
5104123,30,34,126,0,0,188,3,0,21,0,0,24,0,3,3,0,0,8,30,35,152,0,0,221
5104124,40,30,53,0,0,128,7,3,9,0,0,17,0,0,0,0,0,0,48,37,59,0,0,147
5104125,28,61,8,0,0,99,6,8,10,0,0,22,0,3,0,0,0,3,37,66,19,0,0,125
5104127,0,9,309,0,4,313,0,0,44,0,3,46,0,0,8,0,0,10,3,6,353,0,6,370
5104128,17,48,114,0,0,191,6,3,19,0,0,25,0,0,9,0,0,9,26,55,143,0,0,218
5104130,108,37,63,0,3,214,19,0,7,0,3,27,3,0,0,0,0,3,134,37,68,0,4,239
5104132,83,61,36,0,0,176,11,7,6,0,0,21,8,0,0,0,0,8,97,68,40,0,0,206
5104133,25,46,131,0,0,199,6,0,20,0,0,22,0,0,0,0,0,0,26,43,152,0,0,227
5104134,79,45,65,0,5,195,8,0,6,0,0,20,3,3,0,0,0,8,86,52,73,0,5,222
5104135,8,0,124,0,13,136,0,0,15,0,0,15,0,0,5,0,3,12,8,0,145,0,11,163
5104138,0,0,91,0,0,93,0,0,13,0,0,13,0,0,3,0,0,3,0,0,112,0,0,112
5104139,3,4,161,0,0,172,0,0,16,0,0,17,0,0,0,0,0,0,3,4,179,0,0,183
5104140,3,0,135,0,0,142,0,0,14,0,0,14,0,0,3,0,0,3,3,0,153,0,0,157
5104143,20,25,76,0,0,123,3,0,21,0,0,24,0,0,3,0,0,3,24,25,96,0,0,146
5104145,12,16,243,0,3,274,0,14,22,0,0,37,0,0,3,0,0,5,13,32,274,0,3,313
5104146,3,0,239,0,0,240,0,0,15,0,0,15,0,0,4,0,0,4,3,0,260,0,0,264
5104147,34,28,38,0,3,108,7,3,0,0,0,7,3,0,0,0,0,5,45,28,34,3,0,118
5104148,9,61,44,0,0,108,0,3,0,0,0,4,0,3,0,0,4,8,9,62,47,0,4,122
5104149,0,0,231,0,0,230,0,0,19,0,0,19,0,0,5,0,0,5,0,0,257,0,0,259
5104150,0,0,142,0,0,145,0,0,46,0,0,46,0,0,7,0,0,7,0,0,201,0,0,198
5104151,0,0,88,0,4,97,0,0,13,0,0,11,0,0,3,0,0,6,0,0,101,3,10,112
5104152,0,0,125,0,0,128,0,0,10,0,0,10,0,0,4,0,0,9,0,4,144,0,0,150
5104153,0,0,190,0,0,190,0,0,10,0,0,10,0,0,8,0,0,8,0,0,205,0,0,205
5104154,22,10,90,0,0,116,0,5,5,0,0,11,0,0,3,0,0,6,24,11,101,0,0,137
5104155,13,71,160,4,0,247,0,6,9,0,0,18,3,0,0,0,0,3,18,82,164,4,0,266
5104156,3,3,188,0,0,194,0,0,12,0,0,17,0,0,0,0,0,0,3,3,199,0,3,210
5104157,0,0,134,0,0,135,0,0,42,0,0,42,0,0,7,0,0,7,0,0,182,0,0,182
5104158,14,15,80,0,0,114,0,0,17,0,0,15,8,0,0,0,0,16,29,20,99,0,0,147
5104159,0,17,114,0,0,131,0,0,3,0,0,4,0,4,5,0,0,8,0,26,121,0,0,144
5104160,0,0,110,0,0,115,0,0,9,0,0,9,0,0,6,0,0,6,0,0,126,0,0,127
5104161,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,0,7
5104162,0,0,101,0,0,101,0,0,4,0,0,4,0,0,3,0,0,3,0,0,113,0,0,113
5104163,0,0,444,0,0,445,0,0,33,0,0,30,0,0,6,0,0,6,0,0,481,0,0,483
5104164,0,0,273,0,0,274,0,0,15,0,0,15,0,0,3,0,0,3,0,0,296,0,0,295
5104165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5104166,0,0,166,0,0,170,0,0,8,0,0,8,0,0,5,0,0,5,0,0,188,0,0,187
5104167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5104168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5104169,19,44,29,0,0,93,7,18,8,0,0,35,0,3,0,0,0,6,28,67,36,0,0,132
5104170,0,0,155,0,0,161,0,0,10,0,0,10,0,0,3,0,0,3,0,0,173,0,0,173
5104171,0,0,149,0,0,151,0,0,15,0,0,15,0,0,4,0,0,4,0,0,164,0,0,170
5104172,0,0,27,0,0,27,0,0,5,0,0,5,0,0,6,0,0,6,0,0,34,0,0,34
5104173,0,0,343,0,0,345,0,0,40,0,0,43,0,0,9,0,0,9,0,0,389,0,0,392
5104174,0,0,330,0,0,330,0,0,35,0,0,35,0,0,3,0,0,3,0,0,368,0,0,367
5104175,0,0,117,0,0,119,0,0,16,0,0,16,0,0,0,0,0,0,0,0,139,0,0,136
5104176,0,0,342,0,0,343,0,0,22,0,0,22,0,0,0,0,0,0,0,0,363,0,0,368
5104177,0,0,142,0,0,142,0,0,12,0,0,12,0,0,5,0,0,5,0,0,159,0,0,159
5104178,19,0,159,0,0,176,0,0,13,0,0,14,0,0,0,0,0,3,21,0,172,0,0,189
5104179,22,58,99,0,0,176,0,3,9,0,0,16,0,0,5,0,0,3,22,60,104,0,0,189
5104180,0,8,164,0,0,168,0,0,12,0,0,12,0,0,3,0,0,3,0,8,178,0,0,185
5104181,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,12,0,12
5104182,21,23,96,0,0,139,3,0,17,0,0,22,0,0,4,0,0,4,24,23,120,0,0,169
5104183,43,30,48,0,0,117,0,0,4,3,0,11,0,0,3,0,0,5,40,35,51,3,0,135
5104184,58,46,17,0,0,114,10,0,0,0,0,16,3,4,0,0,0,4,72,44,17,0,0,137
5104185,13,17,180,3,0,209,0,0,23,0,0,24,0,0,3,0,0,6,18,15,208,3,3,239
5104186,4,33,201,0,0,236,0,0,20,0,0,20,0,0,0,0,0,0,4,33,221,0,0,256
5104201,72,91,3,0,0,160,0,4,0,0,0,3,0,4,0,0,0,4,72,95,3,0,0,173
5104202,49,85,32,0,0,169,3,14,0,0,0,18,0,0,0,0,0,0,55,100,34,0,0,188
5104203,3,13,651,0,0,666,0,0,30,0,0,32,0,0,8,0,0,8,3,16,685,0,0,695
5104205,0,69,148,0,0,223,0,14,30,0,0,45,0,0,0,0,0,5,0,89,186,0,0,274
5104206,123,51,0,0,0,178,8,3,0,0,0,11,3,0,0,0,0,3,139,61,0,0,0,193
5104207,104,28,0,0,0,137,10,3,0,0,0,13,3,0,0,0,0,3,118,31,0,0,0,152
5104208,99,50,90,0,0,237,5,3,20,0,0,21,0,0,0,0,0,0,103,48,107,0,0,257
5104209,45,65,3,0,0,115,0,6,0,0,0,8,3,0,0,0,0,4,49,68,3,0,0,126
5104210,53,24,76,0,0,159,3,3,13,0,0,21,0,0,3,0,0,3,59,28,92,0,0,180
5104211,95,21,0,0,0,117,0,0,0,0,0,0,3,0,0,0,0,3,101,21,0,0,0,122
5104212,63,27,44,0,0,134,0,0,29,0,0,32,0,0,10,0,0,9,61,29,82,0,0,180
5104213,109,19,12,0,0,140,5,0,0,0,0,5,0,0,0,0,0,0,118,19,12,0,0,153
5104214,18,28,96,0,0,136,0,6,6,0,0,9,0,0,0,0,0,0,15,31,100,0,0,145
5104215,133,23,0,0,0,154,12,8,0,0,0,16,0,0,0,0,0,0,148,28,0,0,0,172
5104216,132,4,0,0,0,139,3,0,0,0,0,3,3,0,0,0,0,3,142,4,0,0,0,144
5104217,165,4,0,0,0,164,0,0,0,0,0,0,3,0,0,0,0,3,166,7,0,0,0,171
5104218,73,3,7,0,0,81,3,0,0,0,0,6,0,0,0,0,0,0,76,3,4,0,0,91
5104219,130,6,0,3,0,137,4,0,0,0,0,4,0,0,0,0,0,0,139,6,0,3,0,146
5104220,124,3,0,0,0,125,6,0,0,0,0,6,0,0,0,0,0,0,125,3,0,0,0,131
5104221,140,7,8,0,0,154,10,0,0,0,0,9,0,0,0,0,0,0,144,5,8,0,0,161
5104222,85,47,31,0,0,162,6,3,8,0,0,14,0,0,0,0,0,0,96,46,35,0,0,178
5104223,180,15,0,0,0,189,9,0,0,0,0,9,4,0,0,0,0,4,187,15,0,0,0,201
5104224,110,44,10,0,0,165,6,6,0,0,0,8,4,0,0,0,0,4,122,46,10,0,0,174
5104225,142,7,3,0,0,152,3,0,0,0,0,3,0,0,0,0,0,0,142,7,3,0,0,154
5104226,115,17,0,0,0,135,3,0,0,0,0,3,3,0,0,0,0,7,122,15,0,0,0,143
5104227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5104228,36,13,70,0,0,119,3,0,16,0,0,20,0,0,3,0,0,5,39,13,87,0,0,147
