SA1_7DIGITCODE_2016,P_Sol_sp_En_T_2006_2010,P_Sol_sp_En_T_2011,P_Sol_sp_En_T_2012,P_Sol_sp_En_T_2013,P_Sol_sp_En_T_2014,P_Sol_sp_En_T_2015,P_Sol_sp_En_T_2016,P_Sol_sp_En_T_Yr_arr_ns,P_Sol_sp_En_T_T,P_LanProf_En_ns_Bef_2000,P_LanProf_En_ns_2000_2005,P_LanProf_En_ns_2006_2010,P_LanProf_En_ns_2011,P_LanProf_En_ns_2012,P_LanProf_En_ns_2013,P_LanProf_En_ns_2014,P_LanProf_En_ns_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_T,P_T_B_2000,P_T_2000_2005,P_T_2006_2010,P_T_2011,P_T_2012,P_T_2013,P_T_2014,P_T_2015,P_T_2016,P_T_Yr_arrival_ns,P_T_T
5113708,13,7,9,9,3,0,6,0,99,0,0,0,0,0,0,0,0,0,0,0,128,3,33,12,17,8,8,0,6,3,216
5113709,59,14,13,13,15,3,26,11,198,0,0,0,0,0,0,0,0,0,0,0,88,22,63,15,16,16,16,10,32,13,281
5113710,7,0,3,3,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,67,3,13,0,0,3,3,0,0,0,97
5113711,25,6,5,3,0,4,0,0,96,0,0,0,0,0,0,0,0,0,0,0,88,13,33,7,5,6,0,4,0,3,154
5113712,19,3,5,0,3,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,103,13,25,7,3,0,4,0,0,0,159
5113713,17,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,124,3,19,0,0,0,0,0,0,0,151
5113714,34,14,10,7,0,10,0,0,93,0,0,0,0,0,0,0,0,0,3,3,32,15,34,13,10,7,0,7,0,9,126
5113715,33,5,12,5,3,8,0,0,100,0,0,0,0,0,0,0,0,0,0,0,59,23,49,5,17,12,0,8,0,3,177
5113716,20,0,13,4,3,7,0,8,70,0,0,0,0,0,0,0,0,0,0,0,57,8,19,0,8,4,3,7,0,8,121
5113717,28,17,10,11,18,15,19,0,155,0,0,0,0,0,0,0,0,0,0,0,65,10,34,15,11,18,20,15,19,3,217
5113718,19,6,3,15,3,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,106,17,28,6,3,11,3,0,0,8,183
5113719,36,3,7,16,11,5,0,0,124,0,0,0,0,0,0,0,0,0,0,0,113,19,61,6,8,17,11,5,0,5,244
5113720,12,3,0,3,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,48,5,10,8,0,3,3,0,0,5,83
5113721,23,3,3,0,0,3,5,3,55,0,0,0,0,0,0,0,0,0,0,0,76,8,41,11,14,3,0,3,5,3,168
5113722,6,4,3,0,3,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,53,5,4,13,3,7,3,3,0,3,87
5113723,9,5,6,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,113,13,17,5,8,3,0,0,0,0,166
5113724,19,4,6,6,4,0,4,0,97,0,0,0,0,0,0,0,0,0,0,0,119,14,25,7,9,6,4,0,6,0,192
5113725,12,7,4,5,4,0,5,0,69,0,0,0,0,0,0,0,0,0,0,0,85,22,20,7,4,7,6,0,6,0,152
5113726,38,3,3,0,3,3,3,4,98,0,0,0,0,0,0,0,0,0,0,0,101,32,43,7,3,4,3,3,3,4,204
5113727,21,4,0,10,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,47,19,28,6,0,10,4,0,0,0,114
5113728,32,9,7,16,0,0,3,3,114,0,0,0,0,0,0,0,0,0,0,0,86,23,50,14,7,19,6,3,3,7,216
5113729,21,0,0,7,13,8,3,0,75,0,0,0,0,0,0,0,0,0,0,0,52,18,30,0,0,12,17,13,3,0,143
5113730,8,3,3,3,0,4,5,0,66,0,0,0,0,0,0,0,0,0,0,0,69,13,22,6,7,3,0,7,5,6,141
5113731,23,0,8,7,13,3,4,3,90,0,0,0,0,0,0,0,0,0,0,0,89,17,24,8,20,10,13,3,4,5,192
5113732,49,7,11,12,5,20,12,3,140,0,0,0,0,0,0,0,0,0,0,0,73,9,53,6,7,9,8,20,12,10,215
5113733,19,0,3,3,3,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,46,10,18,3,3,3,3,0,0,3,90
5113734,25,3,12,4,9,3,0,3,85,0,0,0,0,0,0,0,0,0,0,0,73,5,26,3,12,4,13,3,0,6,144
5113735,36,3,3,3,7,9,3,0,109,0,0,0,0,0,0,0,0,0,0,0,78,11,42,3,7,6,7,9,3,9,175
5113736,133,25,20,22,22,17,6,3,355,0,0,0,0,0,0,0,0,0,0,0,131,51,142,25,20,22,21,14,6,4,447
5113737,19,0,3,0,0,8,0,4,69,0,0,0,0,0,0,0,0,0,0,0,66,7,39,3,6,0,3,12,0,4,137
5113738,16,0,3,6,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,57,23,27,4,4,9,3,0,0,0,131
5113739,42,13,16,7,13,4,0,4,150,0,0,0,0,0,0,0,0,0,0,0,88,22,47,15,16,7,10,4,0,12,215
5113740,20,6,7,4,4,5,0,5,78,0,0,0,0,0,0,0,0,0,0,0,77,5,22,6,7,4,4,5,0,5,135
5113741,16,3,3,0,5,3,0,0,37,0,0,0,0,0,0,0,0,0,0,0,85,9,26,3,3,0,7,3,0,0,137
5113742,27,6,6,3,3,0,0,3,68,0,0,0,0,0,0,0,0,0,0,0,91,13,37,9,10,5,3,0,0,3,157
5113743,12,0,0,3,3,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,55,10,16,0,0,3,3,0,0,4,89
5113744,14,0,6,9,3,0,0,3,72,0,0,0,0,0,0,0,0,0,0,0,72,21,20,0,6,6,9,0,0,7,139
5113745,10,0,0,0,0,3,0,4,35,0,0,0,0,0,0,0,0,0,0,0,72,10,12,6,7,8,0,12,0,4,136
5113746,4,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,49,10,15,0,0,0,0,0,3,4,84
5113747,28,3,11,5,5,15,6,0,100,0,0,0,0,0,0,0,0,0,0,0,63,9,30,3,13,5,4,23,6,0,155
5113748,19,4,15,4,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,130,20,25,4,15,4,0,0,0,4,208
5113749,19,0,0,0,0,4,0,3,69,0,0,0,0,0,0,0,0,0,0,0,99,9,32,5,0,0,0,4,0,4,163
5113750,15,0,0,6,0,0,3,3,40,0,0,0,0,0,0,0,0,0,0,0,68,0,22,0,0,3,0,0,4,5,110
5113751,18,10,3,0,0,8,0,3,91,0,0,0,0,0,0,0,0,0,0,0,96,13,27,13,3,3,0,8,0,9,181
5113752,13,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,52,5,17,3,0,0,0,0,0,0,85
5113753,29,4,3,3,16,5,3,12,93,0,0,0,0,0,0,0,0,0,0,0,36,7,28,4,9,3,16,7,3,11,131
5113754,33,10,0,3,3,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,62,9,41,6,0,3,3,3,0,0,129
5113755,11,4,0,5,3,0,3,0,67,0,0,0,0,0,0,0,0,0,0,0,102,22,23,7,3,7,5,0,3,3,174
5113756,18,0,9,0,3,0,4,3,48,0,0,0,0,0,0,0,0,0,0,0,44,9,26,0,9,0,3,0,3,3,93
5113757,38,0,7,0,0,3,0,9,94,0,0,0,0,0,0,0,0,0,0,0,76,23,41,0,11,0,0,3,0,11,158
5113758,87,18,7,17,19,4,5,3,218,0,0,0,0,0,0,0,0,0,0,0,90,39,106,27,18,17,19,4,11,10,349
5113759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5113801,15,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,28,3,15,3,3,4,0,0,0,0,54
5113803,0,0,3,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,48,18,19,9,3,0,3,0,0,0,94
5113804,18,0,8,8,3,5,0,3,61,0,0,0,0,0,0,0,0,0,0,0,50,15,31,5,16,11,3,5,0,3,145
5113806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5113807,6,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,50,17,11,4,0,0,0,0,0,4,82
5113808,5,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,79,4,8,3,0,0,0,0,0,5,98
5113809,14,0,0,0,0,3,0,3,32,3,0,0,0,0,0,0,0,0,0,3,62,4,16,0,0,3,0,6,0,8,105
5113810,5,3,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,65,13,25,3,0,0,0,0,0,3,107
5113811,7,0,3,0,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,30,4,19,3,3,0,3,0,0,0,71
5113812,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,37,4,4,0,3,3,0,0,0,0,63
5113813,4,0,0,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,95,12,19,3,4,3,5,3,0,3,160
5113814,122,32,4,15,6,4,12,3,266,0,0,0,0,0,0,0,0,0,0,0,136,56,171,47,15,25,9,7,13,12,485
5113815,14,0,0,0,6,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,49,3,18,9,6,0,5,0,0,3,99
5113816,4,0,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,25,3,10,0,12,0,0,0,0,3,56
5113817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5113818,11,0,3,0,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,59,10,8,5,6,3,0,0,3,5,99
5113819,3,4,0,8,0,0,4,0,28,0,0,0,0,0,0,0,0,0,0,0,75,3,10,8,4,6,3,0,4,3,121
