SA1_7DIGITCODE_2016,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
5103208,39,0,3,0,0,0,0,42
5103209,81,4,0,0,0,0,0,85
5103210,47,3,3,0,0,0,0,51
5103211,59,0,0,0,0,0,0,60
5103212,33,0,0,0,0,0,0,30
5103213,60,5,0,0,0,0,0,64
5103214,61,3,3,0,0,0,0,62
5103215,31,0,0,0,0,0,0,36
5103216,26,0,0,0,0,0,0,26
5103217,51,4,0,0,0,0,0,51
5103218,76,0,3,0,0,0,0,76
5103301,46,3,0,0,0,0,0,55
5103302,54,0,0,0,0,0,0,54
5103303,95,3,0,0,0,0,0,103
5103304,59,0,0,0,0,0,0,62
5103305,100,3,3,0,0,0,0,103
5103306,74,3,3,0,0,0,0,76
5103307,57,0,0,0,0,0,0,63
5103308,0,0,0,0,0,0,0,0
5103309,51,0,0,0,0,0,0,50
5103310,54,3,0,0,0,0,0,60
5103311,33,0,0,0,0,0,0,32
5103312,68,4,0,0,0,0,0,71
5103313,36,3,0,0,0,0,0,40
5103314,46,0,0,0,0,0,0,46
5103315,74,7,3,0,0,0,0,85
5103316,59,5,0,0,0,0,0,58
5103317,41,3,0,0,0,0,0,47
5103318,40,4,0,0,0,0,0,42
5103319,39,3,0,0,0,0,0,41
5103320,90,3,0,0,0,0,0,94
5103321,51,4,0,0,0,0,0,60
5103322,53,3,0,0,0,0,0,52
5103401,19,0,0,0,0,0,0,19
5103402,18,5,0,0,0,0,0,21
5103403,77,4,3,0,0,0,0,90
5103404,52,0,0,0,0,0,0,53
5103405,68,8,0,0,0,0,0,76
5103406,66,7,0,3,0,0,0,71
5103407,80,5,4,0,0,0,0,86
5103408,67,0,0,0,0,0,0,67
5103409,54,3,3,0,0,0,0,65
5103410,77,0,0,0,0,0,0,78
5103411,40,0,0,0,0,0,0,38
5103412,17,3,0,0,0,0,0,26
5103413,22,0,0,0,0,0,0,24
5103414,24,3,0,0,0,0,0,28
5103415,23,0,0,0,0,0,0,19
5103416,48,3,0,0,0,0,0,57
5103417,50,3,0,0,0,0,0,53
5103418,45,0,0,0,0,0,0,42
5103419,35,3,4,0,0,0,0,39
5103420,62,3,0,0,0,0,0,67
5103421,40,0,0,0,0,0,0,44
5103422,57,3,0,0,0,0,0,62
5103423,41,0,3,0,0,0,0,50
5103424,18,0,0,0,0,0,0,24
5103501,40,0,0,0,0,0,0,43
5103502,0,0,0,0,0,0,0,0
5103503,62,0,3,0,0,0,0,69
5103504,32,0,0,0,0,0,0,32
5103505,25,0,0,0,0,0,0,25
5103506,35,0,0,0,0,0,0,35
5103507,35,0,0,0,0,0,0,33
5103508,0,0,0,0,0,0,0,0
5103509,21,0,0,0,0,0,0,28
5103510,70,4,0,0,0,0,0,73
5103511,58,0,0,0,0,0,0,64
5103512,80,6,0,0,0,0,0,86
5103513,93,3,3,0,0,0,0,98
5103514,68,7,0,0,0,0,0,78
5103515,50,0,0,0,0,0,0,50
5103516,51,3,0,0,0,0,0,56
5103517,70,5,0,0,0,0,0,74
5103518,58,0,0,0,0,0,0,62
5103519,41,0,3,0,0,0,0,44
5103520,48,0,0,0,0,0,0,51
5103521,50,3,0,0,0,0,0,50
5103522,0,0,0,0,0,0,0,0
5103523,22,0,0,0,0,0,0,22
5103524,3,0,0,0,0,0,0,5
5103525,52,3,0,0,0,0,0,55
5103526,33,0,3,0,0,0,0,35
5103527,46,0,0,0,0,0,0,51
5103528,65,5,3,0,0,0,0,72
5103529,44,0,0,0,0,0,0,46
5103530,50,0,0,0,0,0,0,54
5103531,64,0,0,0,0,0,0,70
5103532,110,0,0,0,0,0,0,114
5103533,115,3,3,0,0,0,0,119
5103534,28,0,0,0,0,0,0,29
5103535,57,0,3,0,0,0,0,61
5103536,64,0,0,0,0,0,0,71
5103537,60,0,0,0,0,0,0,65
5103538,65,4,0,0,0,0,0,73
5103539,41,3,0,0,0,0,0,47
5103540,66,0,0,0,0,0,0,70
5103541,83,0,0,0,0,0,0,88
5103601,0,0,0,0,0,0,0,0
5103602,63,3,0,0,0,0,0,66
5103603,58,3,0,0,0,0,0,61
5103604,55,0,3,0,0,0,0,54
5103605,41,3,0,0,0,0,0,44
5103606,63,3,0,0,0,0,0,64
5103607,0,0,0,0,0,0,0,0
5103608,65,3,0,0,0,0,0,71
5103609,74,8,0,0,0,0,0,82
5103610,30,3,0,0,0,0,0,33
5103611,74,7,0,0,0,0,0,78
5103612,94,10,6,0,0,0,0,106
5103613,39,0,0,0,0,0,0,40
5103614,50,3,0,0,0,0,0,48
5103615,23,4,0,0,0,0,0,25
5103616,39,0,0,0,0,0,0,50
5103617,70,7,3,0,0,0,0,73
5103618,49,0,0,0,0,0,0,47
5103619,60,0,0,0,0,0,0,60
5103620,53,0,0,0,0,0,0,51
5103621,45,3,0,0,0,0,0,50
5103622,0,0,0,0,0,0,0,0
5103623,62,0,0,0,0,0,0,65
5103624,33,0,0,0,0,0,0,36
5103625,0,0,0,0,0,0,0,0
5103701,0,0,0,0,0,0,0,0
5103801,39,0,0,0,0,0,0,42
5103802,18,0,0,0,0,0,0,23
5103803,30,0,0,0,0,0,0,27
5103804,25,3,0,0,0,0,0,31
5103805,36,0,0,0,0,0,0,36
5103806,22,3,0,0,0,0,0,27
5103807,22,0,0,0,0,0,0,25
5103808,14,0,0,0,0,0,0,14
5103809,37,0,0,0,0,0,0,43
5103810,60,0,0,0,0,0,0,60
5103811,58,3,0,0,0,0,0,64
5103812,0,0,0,0,0,0,0,0
5103813,90,0,0,0,0,0,0,92
5103814,28,0,0,0,0,0,0,28
5103815,54,0,0,0,0,0,0,61
5103816,60,0,0,0,0,0,0,66
5103817,90,3,0,0,0,0,0,93
5103818,52,3,0,0,0,0,0,50
5103819,50,0,0,0,0,0,0,51
5103820,47,0,0,0,0,0,0,45
5103821,39,3,0,0,0,0,0,44
5103822,90,3,0,0,0,0,0,92
5103823,38,0,0,0,0,0,0,40
5103824,59,9,0,0,0,0,0,60
5103825,40,0,0,0,0,0,0,36
5103826,81,7,0,0,0,0,0,84
5103827,45,0,0,0,0,0,0,45
5103828,45,3,0,3,0,0,0,54
5103901,23,0,0,0,0,0,0,29
5103902,58,0,0,0,0,0,0,56
5103903,30,3,0,0,0,0,0,32
5103904,0,0,0,0,0,0,0,0
5103905,29,0,0,0,0,0,0,31
5103906,32,4,3,0,0,0,0,36
5103907,54,5,0,0,0,0,0,59
5103908,38,3,0,0,0,0,0,42
5103909,21,0,3,0,0,0,0,27
5103910,26,0,3,0,0,0,0,29
5103911,28,0,0,0,0,0,0,31
5103912,30,0,0,0,0,0,0,28
5103913,39,3,0,0,0,0,0,44
5103914,21,0,0,0,0,0,0,23
5103915,16,0,0,0,0,0,0,21
5103916,74,0,0,0,0,0,0,75
5103917,37,0,0,0,0,0,0,36
5103918,65,0,0,0,0,0,0,66
5103919,29,0,0,0,0,0,0,32
5103920,73,0,0,0,0,0,0,74
5103921,66,4,0,0,0,0,0,71
5103922,62,4,0,0,0,0,0,64
5103923,20,0,0,0,0,0,0,23
5103924,34,3,0,0,0,0,0,36
5103925,43,3,3,0,0,0,0,46
5103926,41,0,0,0,0,0,0,38
5103927,52,0,0,0,0,0,0,55
5103928,51,5,0,0,0,0,0,53
5103929,45,5,0,0,0,0,0,53
5103930,54,3,0,0,0,0,0,57
5103931,45,0,0,0,0,0,0,49
5103932,58,3,0,0,0,0,0,64
5103933,35,0,3,0,0,0,0,39
5103934,51,4,0,0,0,0,0,54
5103935,45,3,3,0,0,0,0,57
5103936,54,3,0,0,0,0,0,62
5103937,49,4,3,0,0,0,0,56
5103938,50,3,0,0,0,0,0,58
5103939,50,0,0,0,0,0,0,57
5104001,39,3,0,0,0,0,0,45
5104002,41,0,0,0,0,0,0,46
5104003,53,3,3,0,0,0,0,54
5104004,41,0,0,0,0,0,0,42
5104005,57,0,0,0,0,0,0,58
5104006,61,3,4,0,0,0,0,67
5104007,57,7,0,4,0,0,0,68
5104008,47,4,0,0,0,0,0,54
5104009,55,0,0,0,0,0,0,63
5104010,43,7,0,0,0,0,0,50
5104011,57,0,0,0,0,0,0,64
5104012,28,4,0,0,0,0,0,32
5104013,62,0,3,0,0,0,0,63
5104014,48,3,0,0,0,0,0,50
5104015,14,0,0,0,0,0,0,14
5104016,25,0,0,0,0,0,0,29
5104017,32,7,0,0,0,0,0,38
5104018,25,4,0,0,0,0,0,29
5104019,47,3,0,0,0,0,0,47
5104020,31,3,0,0,0,0,0,32
5104021,39,3,0,0,0,0,0,47
5104102,8,0,0,0,0,0,0,14
5104103,37,0,0,0,0,0,0,38
5104104,13,0,0,0,0,0,0,17
5104105,18,3,0,0,0,0,0,23
5104106,13,0,0,0,0,0,0,13
5104107,8,0,0,0,0,0,0,12
5104113,43,7,0,0,0,0,0,49
5104114,20,0,0,0,0,0,0,22
5104115,15,0,0,0,0,0,0,16
5104116,23,0,0,0,0,0,0,22
5104118,7,0,0,0,0,0,0,6
5104119,22,0,0,0,0,0,0,22
5104120,52,3,0,0,0,0,0,62
5104122,22,3,0,0,0,0,0,28
5104123,14,0,0,0,0,0,0,15
5104124,14,0,0,0,0,0,0,13
5104125,8,0,0,0,0,0,0,13
5104127,22,0,0,0,0,0,0,22
5104128,11,0,0,0,0,0,0,15
5104130,44,3,0,0,0,0,0,51
5104132,34,0,0,0,0,0,0,35
5104133,15,0,0,0,0,0,0,17
5104134,27,3,0,0,0,0,0,27
5104135,8,0,0,0,0,0,0,8
5104138,14,0,0,0,0,0,0,13
5104139,9,0,0,0,0,0,0,16
5104140,13,0,0,0,0,0,0,16
5104143,16,0,0,0,0,0,0,17
5104145,27,0,0,0,0,0,0,26
5104146,17,4,0,0,0,0,0,23
5104147,14,0,0,0,0,0,0,14
5104148,13,3,0,0,0,0,0,18
5104149,17,3,0,0,0,0,0,21
5104150,8,0,0,0,0,0,0,8
5104151,10,0,0,0,0,0,0,10
5104152,12,0,0,0,0,0,0,7
5104153,21,3,0,0,0,0,0,19
5104154,13,0,0,0,0,0,0,16
5104155,14,3,0,0,0,0,0,16
5104156,8,0,0,0,0,0,0,14
5104157,11,0,0,0,0,0,0,13
5104158,13,0,0,0,0,0,0,14
5104159,4,0,0,0,0,0,0,7
5104160,6,0,0,0,0,0,0,7
5104161,0,0,0,0,0,0,0,0
5104162,8,0,0,0,0,0,0,11
5104163,69,7,0,0,0,0,0,84
5104164,30,4,0,0,0,0,0,33
5104165,0,0,0,0,0,0,0,0
5104166,16,0,0,0,0,0,0,18
5104167,0,0,0,0,0,0,0,0
5104168,0,0,0,0,0,0,0,0
5104169,20,0,0,0,0,0,0,20
5104170,25,0,0,0,0,0,0,22
5104171,17,0,0,0,0,0,0,17
5104172,3,0,0,0,0,0,0,7
5104173,27,3,0,0,0,0,0,31
5104174,34,3,0,0,0,0,0,39
5104175,9,0,0,0,0,0,0,9
5104176,37,3,0,0,0,0,0,43
5104177,9,0,0,0,0,0,0,9
5104178,12,0,0,0,0,0,0,15
5104179,26,0,0,0,0,0,0,27
5104180,13,0,0,0,0,0,0,13
5104181,0,0,0,0,0,0,0,0
5104182,10,0,0,0,0,0,0,9
5104183,23,0,0,0,0,0,0,26
5104184,16,0,0,0,0,0,0,18
5104185,23,3,0,0,0,0,0,32
5104186,17,0,0,0,0,0,0,23
5104201,52,0,0,0,0,0,0,52
5104202,34,0,0,0,0,0,0,35
5104203,63,3,0,0,0,0,0,65
5104205,14,0,0,0,0,0,0,14
5104206,62,3,3,0,0,0,0,62
5104207,50,3,0,0,0,0,0,52
5104208,61,10,0,0,0,0,0,71
5104209,25,0,0,0,0,0,0,32
5104210,40,3,0,0,0,0,0,41
5104211,46,0,0,0,0,0,0,46
5104212,44,6,0,0,0,0,0,45
5104213,56,0,0,0,0,0,0,54
5104214,31,0,0,0,0,0,0,26
5104215,55,0,0,0,0,0,0,57
5104216,58,0,0,0,0,0,0,60
5104217,63,3,0,0,0,0,0,73
5104218,33,0,3,0,0,0,0,33
5104219,61,3,0,0,0,0,0,60
5104220,61,3,0,0,0,0,0,66
5104221,65,0,0,0,0,0,0,72
5104222,47,0,0,0,0,0,0,47
5104223,90,7,4,0,0,0,0,96
5104224,43,0,0,0,0,0,0,43
5104225,60,4,0,0,0,0,0,70
5104226,42,0,0,0,0,0,0,46
5104227,0,0,0,0,0,0,0,0
5104228,33,0,0,0,0,0,0,33
5104229,20,0,5,0,0,0,0,23
5104230,45,4,0,0,0,0,0,50
5104231,32,4,0,0,0,0,0,32
5104232,15,0,0,0,0,0,0,20
5104233,37,0,0,0,0,0,0,37
5104234,53,0,0,0,0,0,0,50
5104235,28,3,0,0,0,0,0,32
5104236,16,0,0,0,0,0,0,19
5104237,3,0,0,0,0,0,0,3
5104238,51,0,0,0,0,0,0,57
5104301,21,0,0,0,0,0,0,23
5104303,27,0,0,0,0,0,0,32
5104304,23,0,0,0,0,0,0,22
5104305,20,0,0,0,0,0,0,18
5104306,36,3,0,0,0,0,0,35
5104307,19,0,0,0,0,0,0,15
5104308,17,0,0,0,0,0,0,18
5104309,0,0,0,0,0,0,0,0
5104310,33,6,4,0,0,0,0,41
5104311,0,0,0,0,0,0,0,0
5104313,43,0,0,4,0,0,0,52
5104314,34,3,0,0,0,0,0,40
5104315,15,0,0,0,0,0,0,18
5104316,50,0,0,0,0,0,0,52
5104317,100,3,0,0,0,0,0,105
5104318,44,3,4,0,0,0,0,55
5104319,89,0,0,0,0,0,0,98
5104320,62,3,0,0,0,0,0,65
5104321,48,3,0,0,0,0,0,59
5104322,63,0,0,0,0,0,0,61
5104323,82,0,0,0,0,0,0,90
5104324,34,3,0,0,0,0,0,30
5104325,61,0,3,0,0,0,0,63
5104326,46,3,0,3,0,0,0,56
5104327,58,0,0,0,0,0,0,58
5104328,84,0,0,0,0,0,0,82
5104329,99,4,0,0,0,0,0,106
5104330,87,3,0,0,0,0,0,96
5104331,94,0,0,0,0,0,0,103
5104332,46,0,3,0,0,0,0,46
5104333,44,7,0,0,0,0,0,49
5104334,67,0,0,0,0,0,0,68
5104335,52,3,0,0,0,0,0,50
5104336,20,0,0,0,0,0,0,22
5104337,40,6,0,0,0,0,0,45
5104338,40,7,0,0,0,0,0,48
5104339,50,6,0,0,0,0,0,58
5104340,54,0,0,0,0,0,0,54
5104341,26,0,0,0,0,0,0,28
5104342,17,0,0,0,0,0,0,18
5104343,16,0,0,0,0,0,0,20
5104401,25,3,0,0,0,0,0,34
5104402,38,0,4,0,0,0,0,43
5104403,22,0,0,0,0,0,0,32
5104404,52,6,0,3,0,0,0,55
5104405,41,0,0,0,0,0,0,42
5104406,38,0,0,0,0,0,0,34
5104407,63,4,3,0,0,0,0,69
5104408,54,7,0,0,0,0,0,61
5104409,33,0,0,0,0,0,0,39
5104410,26,0,0,0,0,0,0,33
5104411,40,5,4,0,0,0,0,54
5104412,33,0,0,0,0,0,0,41
5104413,36,3,3,0,0,0,0,38
5104414,43,4,0,0,0,0,0,52
5104415,75,3,0,0,0,0,0,82
5104416,35,3,5,0,0,0,0,48
5104417,55,4,3,0,0,0,0,60
5104418,41,0,0,0,0,0,0,39
5104419,65,11,0,3,0,0,0,74
5104420,23,3,0,0,0,0,0,31
5104421,57,3,0,0,0,0,0,64
5104422,65,0,8,0,0,0,0,75
5104423,75,7,10,0,0,0,0,88
5104424,37,3,0,0,0,0,0,36
5104425,40,3,0,0,0,0,0,45
5104426,39,9,4,0,0,0,0,56
5104427,26,3,3,0,0,0,0,35
5104428,32,3,0,0,0,0,0,34
5104429,67,5,0,0,0,0,0,67
5104430,27,3,0,0,0,0,0,30
5104431,34,3,3,0,0,0,0,43
5104432,0,0,0,0,0,0,0,0
5104433,67,8,3,0,0,0,0,79
5104434,0,0,0,0,0,0,0,0
5104435,34,0,0,0,0,0,0,34
5104436,23,4,0,0,0,0,0,32
5104437,13,4,0,0,0,0,0,17
5104501,33,3,0,0,0,0,0,36
5104502,33,3,0,0,0,0,0,33
5104503,63,4,0,0,0,0,3,71
5104504,52,0,6,0,0,0,0,59
5104505,41,0,3,0,0,0,0,40
5104506,26,0,5,0,0,0,0,36
5104507,33,4,3,0,0,0,0,39
5104508,28,3,0,0,0,0,0,32
5104509,43,3,3,0,0,0,0,43
5104510,29,6,0,0,0,0,0,31
5104511,72,11,3,0,0,0,0,88
5104512,0,0,0,0,0,0,0,0
5104513,58,3,0,0,0,0,0,62
5104514,73,5,0,0,0,0,0,77
5104515,48,4,0,0,0,0,0,49
5104516,63,4,0,0,0,0,0,67
5104517,67,3,0,0,0,0,0,70
5104518,37,6,0,0,0,0,0,42
5104519,0,0,0,0,0,0,0,0
5104521,44,3,0,0,0,0,0,49
5104522,33,0,0,0,0,0,0,35
5104523,22,0,0,0,0,0,0,29
5104524,48,3,0,0,0,0,0,54
5104525,55,3,0,0,0,0,0,61
5104527,18,0,0,0,0,0,0,19
5104528,51,4,0,0,0,0,0,58
5104529,29,3,0,0,0,0,0,31
5104530,64,3,0,0,0,0,0,72
5104531,36,3,3,0,0,0,3,47
5104532,61,8,0,0,0,0,0,69
5104533,41,3,0,0,0,0,0,42
5104534,50,6,0,0,0,0,0,53
5104535,34,3,3,0,0,0,0,45
5104536,33,5,0,0,0,0,0,34
5104537,40,3,0,0,0,0,0,44
5104538,10,4,0,0,0,0,0,12
5104539,57,0,0,0,0,0,0,61
5104540,60,0,0,0,0,0,0,57
5104541,66,0,0,0,0,0,0,71
5104542,61,3,3,0,0,0,0,67
5104543,69,3,0,0,0,0,0,71
5104544,64,3,0,0,0,0,0,65
5104545,28,6,0,0,0,0,0,39
5104546,43,6,5,0,0,0,0,50
5104547,49,5,0,0,0,0,0,51
5104548,38,4,0,0,0,0,0,49
5104550,66,0,5,0,0,0,0,71
5104551,36,3,0,0,0,0,0,37
5104552,35,0,0,0,0,0,0,37
5104553,42,0,0,0,0,0,0,42
5104554,64,3,0,0,0,0,0,69
5104555,9,0,0,0,0,0,0,7
5104556,40,4,0,0,0,0,0,46
5104557,24,0,0,0,0,0,0,27
5104558,30,3,0,0,0,0,0,34
5104560,35,3,0,0,0,0,0,40
5104601,14,0,0,0,0,0,0,12
5104602,55,3,0,0,0,0,0,58
5104603,23,6,0,0,0,0,0,28
5104604,28,0,0,0,0,0,0,36
5104605,55,4,0,0,0,0,0,55
5104606,60,5,0,0,0,0,0,66
5104607,48,4,0,0,0,0,0,55
5104608,0,0,0,0,0,0,0,0
5104609,37,4,0,0,0,0,0,39
5104610,28,0,0,0,0,0,0,28
5104611,17,3,0,0,0,0,0,21
5104612,41,0,0,0,0,0,0,43
5104613,17,4,0,0,0,0,0,28
5104614,39,0,0,0,0,0,0,39
5104615,29,3,0,0,0,0,0,31
5104616,40,3,0,0,0,0,0,40
5104617,27,0,0,0,0,0,0,37
5104618,35,4,0,0,0,0,0,35
5104619,18,3,0,0,0,0,0,22
5104620,37,0,0,0,0,0,0,35
5104621,33,4,0,0,0,0,0,38
5104622,32,0,0,0,0,0,0,32
5104623,56,0,0,3,0,0,3,60
5104624,20,0,0,0,0,0,0,19
5104625,39,0,0,0,0,0,0,39
5104626,53,3,4,0,0,0,0,65
5104627,48,0,0,0,0,0,0,53
5104628,17,3,0,0,0,0,0,25
5104701,45,5,0,0,0,0,0,49
5104702,48,7,0,0,0,0,0,51
5104703,37,0,3,0,0,0,0,42
5104704,48,8,0,0,0,0,0,60
5104705,68,7,0,0,0,0,0,71
5104706,35,0,3,0,0,0,0,42
5104707,54,3,0,0,0,0,0,64
5104708,55,3,3,0,0,0,0,63
5104709,67,3,3,0,0,0,0,73
5104710,30,0,0,0,0,0,0,31
5104711,48,0,0,0,0,0,0,51
5104712,51,3,3,0,0,0,0,62
5104713,51,3,0,0,0,0,0,58
5104714,39,3,0,0,0,0,0,45
5104715,0,0,0,0,0,0,0,0
5104716,40,3,5,0,0,0,0,46
5104717,50,0,0,0,0,0,0,54
5104718,52,0,4,0,0,0,0,55
5104719,30,0,0,0,0,0,0,30
5104720,50,0,0,0,0,0,0,47
5104721,34,3,0,0,0,0,0,38
5104722,54,0,9,0,0,0,0,60
5104723,55,8,0,0,0,0,0,67
5104724,47,3,3,0,0,0,0,47
5104725,43,0,3,0,0,0,0,49
5104726,79,0,0,0,0,0,0,83
5104727,55,3,0,0,0,0,0,58
5104728,48,3,3,0,0,0,0,60
5104729,51,7,3,3,0,0,0,60
5104730,40,3,4,0,0,0,0,48
5104731,32,0,0,0,0,0,0,41
5104732,56,3,3,0,0,0,0,62
5104733,61,3,0,0,0,0,0,67
5104734,48,4,4,3,0,0,0,55
5104735,79,7,4,0,0,0,0,89
5104736,45,6,0,0,0,0,0,53
5104737,58,3,0,0,0,0,0,67
5104738,58,4,0,0,0,0,0,66
5104739,63,0,4,0,0,0,0,68
5104740,38,3,7,0,0,0,0,52
5104741,57,6,5,0,0,0,0,66
5104742,51,3,0,4,0,0,0,58
5104743,63,10,3,0,0,0,0,74
5104744,34,6,0,0,0,0,0,44
5104745,53,3,0,3,0,0,0,62
5104801,0,0,0,0,0,0,0,0
5104802,79,3,0,3,0,0,0,85
5104803,39,0,7,0,0,0,0,46
5104804,38,4,0,0,0,0,0,43
5104805,55,0,0,0,0,0,0,63
5104806,59,5,0,0,0,0,0,72
5104807,71,4,3,0,0,0,0,84
5104808,48,0,0,0,0,0,0,47
5104809,65,3,0,0,0,0,0,68
5104810,41,0,0,0,0,0,0,37
5104811,58,3,0,0,0,0,0,63
5104812,48,3,0,0,0,0,0,55
5104813,33,0,0,4,0,0,0,43
5104814,29,3,0,0,0,0,0,35
5104815,64,3,0,0,0,0,0,69
5104816,36,3,3,0,0,0,0,42
5104817,52,7,0,0,0,0,0,58
5104818,26,0,3,0,0,0,0,29
5104819,33,11,3,0,0,0,0,45
5104820,33,3,0,0,0,0,0,35
5104821,34,0,0,0,0,0,0,34
5104901,56,7,0,0,0,0,0,61
5104902,43,0,0,3,0,0,0,46
5104903,19,4,0,0,0,0,0,25
5104904,41,3,3,0,0,0,0,47
5104906,32,0,4,3,0,0,0,41
5104907,41,3,3,0,0,0,0,48
5104908,50,4,3,0,0,0,0,55
5104909,11,0,0,0,0,0,0,11
5104910,15,0,0,0,0,0,0,17
5104911,11,0,0,0,0,0,0,7
5104912,0,0,0,0,0,0,0,0
5104913,0,0,0,0,0,0,0,0
5105001,44,0,0,0,0,0,0,44
5105002,32,4,0,0,0,0,0,39
5105003,0,0,0,0,0,0,0,0
5105004,46,3,0,0,0,0,0,48
5105005,54,7,5,0,0,0,0,63
5105006,60,3,0,0,0,0,0,66
5105007,32,3,3,0,0,0,0,36
5105008,42,10,0,0,0,0,0,52
5105009,42,0,0,0,0,0,0,44
5105010,60,3,3,0,0,0,0,62
5105011,30,3,3,0,0,0,0,41
5105012,46,4,0,0,0,0,0,48
5105013,61,3,4,0,0,0,0,72
5105014,45,0,0,0,0,0,0,44
5105015,83,0,3,0,0,0,0,83
5105016,24,0,0,0,0,0,0,32
5105017,24,0,0,0,0,0,0,24
5105018,62,4,0,0,0,0,0,68
5105019,39,3,0,0,0,0,0,45
5105020,83,3,0,0,3,0,0,92
5105101,40,0,0,0,0,0,0,44
5105103,27,3,4,0,0,0,0,35
5105104,33,3,0,0,0,0,0,37
5105105,35,3,6,3,0,0,0,51
5105106,41,4,0,3,0,0,0,51
5105107,39,0,0,0,0,0,0,43
5105108,102,8,7,0,0,0,0,119
5105109,48,3,3,0,0,0,0,57
5105111,39,3,0,0,0,0,0,46
5105112,29,3,3,0,0,0,0,39
5105113,34,0,0,0,0,0,0,37
5105114,60,0,0,0,0,0,0,66
5105115,48,0,0,0,0,0,0,50
5105201,0,0,0,0,0,0,0,0
5105301,44,5,0,0,0,0,0,51
5105302,38,0,3,0,0,0,0,37
5105303,82,4,5,0,0,0,0,97
5105304,75,3,3,3,0,0,0,89
5105305,59,4,0,0,0,0,0,65
5105306,21,0,0,0,0,0,0,24
5105307,26,3,0,0,0,0,0,33
5105308,52,8,3,0,0,0,0,62
5105309,35,0,3,0,0,0,0,39
5105310,19,3,0,0,0,0,0,23
5105311,41,0,4,0,0,0,3,48
5105312,58,5,0,0,0,0,0,61
5105313,29,3,0,0,0,0,0,34
5105314,67,6,0,0,0,0,0,75
5105315,4,0,0,0,0,0,0,3
5105316,40,7,4,0,0,0,0,49
5105317,84,11,4,0,0,0,0,104
5105318,35,5,3,0,0,0,0,43
5105319,35,3,0,0,0,0,0,39
5105320,37,3,0,0,0,0,0,38
5105321,36,3,0,0,0,0,0,41
5105322,36,3,0,0,0,0,0,40
5105323,39,3,0,0,0,0,0,50
5105324,67,3,4,3,0,0,0,74
5105325,36,6,0,0,0,0,0,46
5105326,24,0,0,0,0,0,0,29
5105327,16,3,0,0,0,0,0,21
5105328,24,0,0,0,0,0,0,24
5105329,48,4,0,0,0,0,0,55
5105330,26,0,0,0,0,0,0,30
5105331,37,7,0,0,0,0,0,47
5105332,0,0,0,0,0,0,0,0
5105333,13,0,3,0,0,0,0,20
5105334,42,4,0,0,0,0,0,49
5105335,55,3,3,0,0,0,0,68
5105336,16,0,0,0,0,0,0,25
5105337,25,4,0,0,0,0,0,28
5105338,26,3,3,0,0,0,0,35
5105401,29,3,0,0,0,0,0,32
5105402,17,0,0,3,0,0,0,22
5105403,49,3,3,3,0,0,3,56
5105404,37,0,3,0,0,0,3,45
5105405,22,3,3,0,0,0,0,31
5105406,15,7,0,0,0,0,0,17
5105407,64,9,0,0,0,0,0,80
5105408,45,6,3,0,0,0,0,54
5105409,20,4,3,0,0,0,0,31
5105410,5,3,0,0,0,0,0,6
5105411,41,8,0,0,0,0,0,47
5105412,17,0,3,0,0,0,0,19
5105413,27,4,0,0,0,0,0,38
5105414,18,0,0,0,0,0,0,21
5105415,62,9,0,0,0,0,0,70
5105416,50,4,3,0,0,0,0,60
5105417,27,7,3,0,0,0,0,31
5105418,24,3,3,0,0,0,0,30
5105419,25,3,3,3,0,0,0,36
5105420,33,0,3,0,0,0,0,38
5105421,28,9,0,0,0,0,3,39
5105422,42,8,0,0,0,0,0,50
5105423,51,9,8,0,0,0,0,64
5105424,26,3,3,0,0,0,0,38
5105425,62,5,0,0,0,0,0,63
5105426,57,4,4,0,0,0,0,63
5105427,31,0,3,0,0,0,0,34
5105428,66,5,10,3,0,0,0,82
5105429,17,3,0,3,0,0,0,21
5105430,20,0,0,0,0,0,0,25
5105431,19,0,0,0,0,0,0,22
5105432,23,0,0,0,0,0,0,25
5105501,0,0,0,0,0,0,0,0
5105601,24,0,0,0,0,0,0,22
5105602,42,0,3,0,0,0,0,46
5105603,45,4,0,0,0,0,0,46
5105604,30,3,3,0,0,0,0,40
5105605,36,0,0,0,0,0,0,44
5105606,17,6,0,3,0,0,0,30
5105607,46,5,3,0,0,0,0,60
5105608,65,6,5,0,0,0,0,80
5105609,27,0,4,0,0,0,0,29
5105610,46,4,0,0,0,0,0,52
5105611,28,0,3,0,0,0,0,35
5105612,32,6,0,0,0,0,0,40
5105613,67,6,0,0,0,0,0,77
5105614,54,3,0,3,0,0,3,61
5105615,32,0,3,0,0,0,0,39
5105616,48,3,3,0,0,0,0,56
5105617,60,0,4,3,0,0,0,62
5105618,49,0,0,0,0,0,0,52
5105619,75,5,3,0,0,0,0,85
5105620,55,5,0,0,0,0,0,65
5105621,37,6,7,0,0,0,0,47
5105622,46,5,0,3,0,0,0,51
5105623,50,3,0,3,0,0,0,56
5105624,27,3,0,4,0,0,0,39
5105625,56,5,0,0,0,0,0,63
5105626,62,3,0,3,0,0,0,66
5105627,72,3,3,3,0,0,0,80
