SA2_MAINCODE_2016,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_T,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_v,P55_64_yr_T,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_T,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_v,P65_74_yr_T,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_T,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_v,P75_84_yr_T,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_T,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_v,P85ovr_T,PT_C_Own_chld_childrn,PT_C_Oth_ch_chiln,PT_Ca_Ow_ch_ch_oth_ch_ch,PT_C_for_T,PT_D_not_prov_ch_care,PT_U_ch_care_ns,PT_OS_v,PT_T
507011151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011152,35,198,3,234,815,54,3,1103,8,154,3,167,566,60,5,798,0,20,0,27,364,57,3,440,0,0,0,0,85,18,0,101,1453,592,41,2090,4548,387,37,7052
507011153,45,121,0,170,673,55,8,905,11,101,0,112,550,69,3,726,0,30,0,30,331,58,3,419,0,0,0,0,99,6,0,110,1294,458,70,1820,4276,479,43,6616
507011154,58,143,0,201,860,102,8,1171,6,153,0,157,695,107,10,972,3,27,0,35,488,112,0,636,0,0,0,0,209,89,0,300,1431,601,61,2095,5568,911,70,8649
507011155,0,0,0,0,4,0,0,5,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,16
507011158,0,52,0,54,253,29,5,344,0,43,0,43,143,18,3,203,0,7,0,7,29,17,0,58,0,3,0,3,4,10,0,11,311,141,10,466,1312,198,20,1992
507011159,66,179,3,247,1050,77,28,1396,7,108,0,111,607,43,20,779,0,18,0,21,370,64,0,453,0,0,0,0,160,33,0,192,1752,610,60,2421,6340,580,101,9440
507011160,32,197,3,233,885,91,10,1222,3,194,0,200,748,91,11,1047,11,41,0,51,495,132,3,685,0,3,0,3,204,120,0,320,1434,632,53,2120,5452,777,61,8409
507011161,41,174,0,213,719,62,72,1057,11,92,0,100,307,31,41,480,3,8,0,12,177,41,3,239,3,0,0,3,97,28,0,130,3364,620,92,4081,6110,694,204,11084
507011163,32,132,0,165,606,50,3,830,6,49,0,57,291,44,9,403,0,12,0,12,152,20,3,191,0,0,0,0,44,3,0,49,1359,392,38,1793,3572,432,32,5830
