SA2_MAINCODE_2016,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
506011116,0,0,0,3,4,7,30,39,12,102,0,0,0,0,0,0,0,0,0,3,10,14,35,48,37,45,55,25,3,274,203,361,621,907,1031,990,819,240,61,5238
506011117,0,3,17,32,37,31,34,23,14,185,3,3,19,12,8,5,8,3,0,62,47,44,105,77,64,49,40,31,8,471,374,718,1911,1506,1130,743,389,169,64,7011
506021118,6,8,22,33,28,59,94,120,86,470,0,12,28,17,16,14,8,9,11,110,52,125,331,219,207,184,167,150,113,1556,358,1123,2718,2134,1794,1600,1113,640,351,11832
506021119,4,7,26,19,23,41,79,95,60,358,0,18,25,17,23,18,18,3,5,134,52,127,366,203,200,188,167,102,75,1484,430,1438,3784,2534,1901,1478,983,487,284,13323
506021120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506021121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,12,3,0,0,0,28,0,3,7,12,12,3,0,0,0,30
506021122,3,21,63,63,59,93,173,252,103,830,3,25,80,44,46,22,22,27,15,281,114,250,661,371,282,279,215,206,86,2471,641,2118,5625,3551,2737,2391,1612,1137,431,20238
506021123,0,3,14,13,21,33,44,92,51,274,0,3,12,4,10,12,9,19,8,73,42,113,359,260,225,181,97,75,26,1372,356,1341,3668,2294,1813,1544,864,421,163,12465
506031124,0,5,36,37,52,68,89,182,144,623,0,7,42,26,19,29,13,15,17,171,72,236,383,247,182,151,195,284,465,2217,895,3081,4317,2284,1692,1499,1229,1133,1003,17126
506031125,0,3,3,12,19,38,47,26,16,164,0,0,5,0,3,16,8,4,3,47,18,34,23,27,48,44,41,23,9,263,363,791,1067,1262,1650,1255,715,218,54,7386
