SA2_MAINCODE_2016,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
506071146,1002,1973,12,68,130,611,16,67,639,2460,797,3204,89,347,176,606,228,710,489,1665,1287,4867,3,18,19,81,14,42,115,326,155,471,22,76,57,137,144,304,227,520,381,987,87,200,2755,8022
506071147,1938,3756,13,60,173,750,22,98,992,3661,1191,4568,102,433,206,700,238,732,549,1864,1739,6432,3,9,27,100,7,26,144,360,178,497,18,69,74,164,131,270,228,500,410,999,118,243,4211,11436
507011148,1286,2507,35,194,304,1369,65,276,1840,7078,2244,8917,154,607,214,719,302,962,662,2285,2908,11200,6,26,40,147,17,59,243,650,310,886,27,78,56,130,149,329,228,539,538,1423,61,127,4792,15254
507011150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011152,934,1850,13,84,115,508,31,152,591,2279,752,3020,89,367,127,438,286,913,502,1717,1260,4734,4,13,20,70,5,15,92,239,125,338,20,69,27,64,100,212,148,343,275,681,26,65,2497,7325
507011153,793,1553,10,36,86,409,28,117,490,1841,610,2407,37,150,83,265,146,467,268,888,879,3296,5,18,31,104,8,27,144,384,187,535,10,36,50,98,159,355,221,490,404,1028,55,123,2126,5993
507011154,1042,2050,11,66,96,462,21,98,527,1939,659,2559,41,170,58,181,174,528,265,877,926,3436,6,22,52,166,14,51,210,527,280,772,19,61,57,127,230,492,313,681,588,1454,50,109,2607,7041
507011155,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
507011158,352,671,5,16,24,107,4,15,133,513,165,648,21,78,26,92,69,207,113,377,278,1030,0,0,0,3,0,0,17,43,21,51,0,0,4,14,17,31,21,47,40,92,3,8,678,1801
