SA2_MAINCODE_2016,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2_sty_Dw,sd_rw_tce_hs_th_wth_2_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_stry_blck_D,Flt_apart_In_4_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
505011081,2893,7561,233,418,0,7,232,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3130,7992,289,..,3422,7992
505011082,2830,8118,203,415,293,658,490,1071,174,218,0,0,0,0,0,0,174,218,0,0,0,4,0,0,0,0,0,4,3,16,3504,9430,347,..,3848,9430
505011083,2914,8642,285,487,10,22,291,515,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,14,3,14,3,10,3208,9174,187,..,3398,9174
505021084,4002,10220,2142,4216,208,490,2347,4708,18,23,0,0,0,0,0,0,23,21,0,0,0,0,3,4,0,6,3,9,6,10,6382,14983,672,..,7053,14983
505021085,4545,13586,2502,5673,172,408,2675,6088,128,231,0,0,0,0,3,3,132,237,0,0,0,0,4,3,0,0,3,8,21,61,7377,19973,704,..,8078,19973
505021086,6619,18223,2338,4491,233,554,2571,5049,330,484,35,43,0,0,0,4,364,536,0,3,4,3,0,0,4,8,10,16,11,30,9575,23855,935,..,10512,23855
505021087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
505021088,3746,9188,2263,4262,961,2159,3219,6418,257,359,0,0,0,0,0,0,257,359,0,0,0,0,0,0,0,0,0,0,11,36,7241,16003,852,..,8089,16003
505021089,5998,17130,781,1544,247,643,1025,2188,7,7,3,0,53,56,0,0,61,70,96,174,0,0,0,0,0,0,95,178,9,26,7197,19586,566,..,7762,19586
505021090,2797,6886,4147,9350,506,1169,4654,10519,76,132,0,0,0,0,0,0,76,132,0,0,0,0,5,3,7,13,6,18,33,73,7569,17629,990,..,8558,17629
505021091,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,..,0,3
505021092,2535,6220,2210,3978,1387,3008,3602,6988,543,837,177,259,282,558,0,0,1007,1660,0,0,0,0,0,0,0,5,7,6,23,40,7166,14906,1220,..,8388,14906
505021093,3281,9200,1515,2964,222,514,1731,3480,359,589,146,268,0,0,0,0,509,858,0,0,0,0,0,0,0,0,0,0,4,9,5530,13541,637,..,6166,13541
505021094,2103,5664,439,809,299,593,732,1405,40,54,105,131,0,0,0,0,143,188,0,0,0,0,0,0,0,3,0,8,10,11,2995,7273,379,..,3369,7273
505021095,1536,3672,2976,5576,572,1211,3549,6786,551,1004,86,148,26,28,0,0,659,1180,0,0,0,0,0,0,0,0,0,0,14,20,5756,11663,798,..,6556,11663
505021096,3507,10275,743,1598,310,803,1052,2397,467,723,104,184,0,0,0,0,564,911,0,3,0,0,0,0,4,6,4,11,14,43,5147,13638,550,..,5690,13638
505021097,3026,8136,1830,3320,656,1579,2483,4899,1055,1760,103,153,86,134,0,0,1246,2041,0,0,0,0,7,9,3,3,10,17,25,64,6791,15162,898,..,7686,15162
505031098,3565,11030,408,761,35,71,447,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,4018,11874,225,..,4243,11874
