SA2_MAINCODE_2016,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,Percent_Unemployment_M,Percent_Unemployment_F,Percent_Unemployment_P,Pcent_Lab_force_particip_M,Pcent_Lab_force_particip_F,Pcent_Lab_force_particip_P,Pcent_Employmnt_to_pop_M,Pcent_Employmnt_to_pop_F,Pcent_Employmnt_to_pop_P,Non_sc_quals_Postgrad_Deg_M,Non_sc_quals_Postgrad_Deg_F,Non_sc_quals_Postgrad_Deg_P,Non_sc_qua_Gra_Dip_Gra_Cer_M,Non_sc_qua_Gra_Dip_Gra_Cer_F,Non_sc_qua_Gra_Dip_Gra_Cer_P,Non_sc_quals_Bachelor_Deg_M,Non_sc_quals_Bachelor_Deg_F,Non_sc_quals_Bachelor_Deg_P,Non_sc_quals_Adv_Dip_Dip_M,Non_sc_quals_Adv_Dip_Dip_F,Non_sc_quals_Adv_Dip_Dip_P,Non_sc_quals_Cert3a4_Level_M,Non_sc_quals_Cert3a4_Level_F,Non_sc_quals_Cert3a4_Level_P,Non_sc_quals_Cert1a2_Level_M,Non_sc_quals_Cert1a2_Level_F,Non_sc_quals_Cert1a2_Level_P,Non_sc_quals_Certnfd_Level_M,Non_sc_quals_Certnfd_Level_F,Non_sc_quals_Certnfd_Level_P,Non_sc_quals_CertTot_Level_M,Non_sc_quals_CertTot_Level_F,Non_sc_quals_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
505021092,6352,6718,13071,3391,2437,5827,852,1683,2526,190,201,390,302,266,568,4733,4587,9318,1062,1597,2667,6.4,5.8,6.1,74.5,68.3,71.3,69.8,64.3,66.9,389,413,798,154,290,437,1376,1795,3175,632,797,1431,1426,512,1934,32,61,101,93,160,251,1555,732,2289,5016,5186,10204,1559,1678,3243,2645,2827,5469,3722,3895,7615
505021093,5585,5802,11391,2734,1596,4333,796,1516,2310,140,157,299,309,236,546,3978,3510,7488,1316,2011,3332,7.8,6.7,7.3,71.2,60.5,65.7,65.7,56.3,60.9,350,288,631,86,130,216,1075,1231,2300,508,596,1102,1071,428,1502,38,63,102,72,150,222,1183,648,1823,5173,5437,10609,955,935,1888,3361,3599,6966,2547,2539,5083
505021094,2824,3087,5911,1299,721,2026,436,939,1379,59,93,160,122,90,216,1926,1851,3778,777,1116,1899,6.3,4.9,5.7,68.2,60,63.9,63.5,56.8,60.3,169,155,324,69,116,190,643,813,1450,309,341,652,554,198,752,12,34,47,46,97,141,614,326,944,2665,2940,5600,549,538,1091,1764,1959,3724,1376,1451,2826
505021095,4644,5382,10023,2340,1791,4136,667,1199,1863,125,178,307,266,237,501,3402,3412,6806,955,1614,2571,7.8,6.9,7.4,73.3,63.4,67.9,67.4,58.9,62.9,292,320,611,103,148,252,1014,1359,2375,449,561,1006,885,449,1336,36,69,104,48,110,153,971,630,1600,3797,4364,8161,1061,1213,2273,2053,2466,4515,2628,2923,5552
505021096,5139,5611,10754,2348,1352,3701,774,1646,2415,107,135,244,226,175,403,3450,3315,6763,1528,2137,3660,6.6,5.3,6,67.1,59.1,62.9,62.8,55.8,59.1,583,444,1021,163,279,440,1410,1705,3110,500,608,1115,626,250,880,21,57,85,64,135,199,716,446,1157,5337,5546,10883,981,987,1970,3391,3599,6988,2756,2747,5503
505021097,6185,7012,13193,2837,1793,4632,895,1716,2611,126,178,300,307,244,549,4163,3930,8093,1623,2537,4155,7.4,6.2,6.8,67.3,56,61.3,62.4,52.6,57.2,369,394,765,153,223,376,1329,1541,2870,593,692,1287,1048,530,1582,51,59,107,74,167,242,1178,760,1936,5409,6002,11413,1225,1303,2527,3386,3817,7211,3022,3265,6287
505031098,4718,4633,9352,2011,1048,3061,643,1106,1755,146,111,259,352,252,605,3158,2523,5682,1337,1878,3215,11.1,10,10.6,66.9,54.5,60.8,59.3,48.9,54.3,79,85,166,28,51,87,332,474,804,322,373,691,995,504,1498,60,83,140,65,121,187,1120,707,1822,4805,4696,9494,729,689,1414,3437,3395,6832,1846,1742,3591
505031099,7875,9042,16921,3650,2081,5728,925,2144,3072,303,289,592,556,555,1109,5433,5070,10498,1816,3232,5045,10.2,10.9,10.6,69,56.1,62,61.9,49.9,55.5,110,109,225,65,137,202,502,908,1407,562,967,1533,2240,1233,3466,87,182,272,115,267,389,2449,1685,4130,8025,8623,16645,1677,1953,3635,4224,4529,8756,4808,5401,10208
505031100,5722,6284,12011,3243,1866,5109,752,1889,2638,203,243,448,362,360,727,4554,4366,8922,904,1664,2567,7.9,8.2,8.1,79.6,69.5,74.3,73.4,63.6,68.2,154,144,301,58,120,181,519,936,1457,514,828,1341,1716,938,2654,58,118,181,94,163,258,1877,1219,3097,5948,6347,12291,1317,1411,2727,3026,3221,6243,3738,4081,7815
505031101,4707,5106,9820,2396,1416,3811,639,1387,2028,189,189,377,375,332,708,3593,3324,6923,851,1488,2343,10.4,10,10.2,76.3,65.1,70.5,68.5,58.6,63.3,130,142,270,51,85,136,455,686,1138,405,606,1017,1298,715,2016,58,110,162,92,145,235,1443,974,2418,4418,4661,9085,1142,1217,2357,2397,2514,4910,2869,3037,5901
