SA2_MAINCODE_2016,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Pn_not_s_hh_DS_Sep_hse,R_P_not_s_hh_DS_Sd_ro_ter_h_t,R_Pn_not_s_hh_DS_Flt_apt,R_Pn_not_s_hh_DS_Oth_dwel,R_Pn_not_s_hh_DS_NS,R_Psn_not_same_hh_Total,R_Hs_coop_c_ch_grp_DS_Sep_hse,R_Hs_cp_c_ch_g_DS_Sd_r_te_h_t,R_Hs_cp_c_ch_gp_DS_Flt_apt,R_Hs_coop_c_ch_grp_DS_Oth_dwe,R_Hs_coop_c_ch_grp_DS_NS,R_Hs_coop_c_ch_grp_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
506061143,595,0,0,0,4,604,1083,3,0,4,3,1099,60,0,0,0,0,60,3,0,0,0,0,3,129,0,0,0,0,129,4,0,0,0,0,4,26,0,0,0,0,27,10,0,0,0,0,11,226,0,0,0,0,227,11,0,0,0,0,11,116,0,0,5,0,121,2038,3,0,9,9,2061
506061144,488,0,0,7,3,498,650,0,0,3,3,657,47,3,0,0,0,53,3,0,0,0,0,3,84,0,0,0,0,84,3,0,0,0,0,3,22,0,0,0,0,22,12,0,0,0,0,12,168,6,0,0,0,176,7,0,0,0,0,7,131,0,0,3,0,139,1448,6,0,13,11,1475
506071145,758,805,99,7,10,1684,672,841,187,3,4,1710,265,865,327,0,3,1459,84,85,56,0,0,228,158,431,127,0,3,725,15,4,5,0,0,27,14,14,11,3,3,51,19,32,0,0,0,52,553,1436,537,3,12,2538,76,20,6,0,3,105,171,222,88,3,4,491,2229,3337,920,18,34,6528
506071146,1220,151,29,0,0,1393,1043,126,4,0,3,1179,277,76,7,0,0,354,185,110,17,0,0,311,204,55,3,0,0,257,6,13,3,0,0,23,19,4,0,0,9,30,7,4,0,0,0,14,696,264,25,0,12,995,11,19,42,0,0,78,160,56,14,3,0,229,3133,608,111,3,16,3875
506071147,1185,608,240,0,3,2038,1139,474,188,0,0,1801,355,729,580,0,7,1669,84,3,70,0,0,159,193,314,187,0,0,696,3,19,4,0,0,25,15,15,14,0,0,48,13,14,10,0,0,33,668,1092,867,0,7,2633,18,46,13,0,0,76,164,213,268,0,3,651,3171,2432,1573,4,18,7200
507011148,873,60,0,0,0,938,3073,165,0,0,3,3245,656,122,3,3,0,781,22,11,0,0,0,30,253,24,0,0,0,283,0,4,0,0,0,7,15,0,0,0,0,16,7,0,0,0,0,7,950,172,4,3,3,1129,11,6,0,0,0,19,208,31,0,0,0,247,5114,434,4,5,11,5563
507011150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011152,1104,45,0,104,3,1258,1214,63,0,3,3,1285,222,37,0,0,0,261,11,9,0,0,0,16,114,33,0,0,0,147,0,0,0,0,0,0,18,3,0,22,3,43,7,0,0,0,0,7,375,79,0,25,3,474,9,0,0,0,0,10,148,13,0,32,0,194,2845,202,0,165,13,3227
507011153,800,31,10,0,0,843,1103,89,55,0,0,1242,270,45,58,0,3,376,83,95,74,0,0,252,209,27,19,0,0,260,0,43,15,0,0,58,22,0,0,0,0,28,4,3,3,0,0,9,589,210,178,0,3,981,12,3,3,0,0,20,182,36,42,0,0,263,2692,372,284,0,8,3348
