SA2_MAINCODE_2016,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_v,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_v,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_v,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_v,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_v,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_v,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_v,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_v,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_v,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_v,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_v,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_v,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_v,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_v,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_v,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_v,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_v,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_v,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_v,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_v,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_v,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_v,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_v,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_v,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_v,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_v,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_v,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_v,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_v,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_v,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_v,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_v,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_v,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_v,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_v,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_v,P_Tot_Tot
502011021,3,210,10,0,224,13,485,29,0,531,7,188,10,0,200,9,119,5,0,126,8,258,14,0,277,4,359,20,0,387,12,402,35,0,454,20,383,31,3,433,38,404,27,0,472,15,168,10,0,200,8,19,0,0,27,135,2983,191,9,3326,0,190,14,0,208,12,437,18,3,473,3,169,5,0,185,0,144,0,0,147,8,347,20,5,373,8,425,32,0,465,24,396,19,0,432,17,433,26,6,484,30,410,32,7,474,13,108,16,0,135,11,11,0,0,20,117,3069,179,21,3384,3,406,17,0,425,21,919,53,3,1000,12,358,14,0,382,5,260,5,0,277,14,606,34,4,650,13,782,53,3,849,33,795,52,3,889,38,817,56,10,914,62,813,67,9,944,34,270,28,0,333,19,24,0,0,42,251,6053,370,35,6710
502011022,3,211,13,0,226,20,511,27,0,557,7,215,12,0,242,6,207,14,0,229,11,315,12,0,335,5,406,30,0,442,22,486,36,0,545,33,499,21,4,555,44,507,38,0,589,42,214,19,0,276,23,38,7,0,65,208,3612,231,8,4056,3,197,13,0,216,7,456,31,0,492,5,252,6,0,266,4,185,10,3,201,8,387,26,0,422,8,470,37,3,521,14,561,25,3,611,31,550,36,3,623,43,503,39,3,583,32,196,14,0,244,31,31,9,0,77,189,3803,250,25,4258,3,412,24,0,439,22,969,57,0,1051,11,468,27,0,507,11,399,23,4,430,14,704,42,7,763,17,873,65,3,958,39,1049,63,3,1154,61,1051,60,5,1178,80,1005,76,3,1168,73,409,34,0,520,56,65,16,0,142,395,7410,477,31,8317
502011023,5,264,16,0,286,37,541,33,0,609,10,279,15,5,312,13,277,12,0,301,17,459,28,0,505,17,404,25,0,449,18,473,23,0,519,40,404,22,0,473,55,342,25,3,425,99,359,36,0,496,56,91,9,0,155,380,3878,247,12,4520,0,286,21,0,305,17,523,29,0,575,7,254,12,0,275,7,241,18,0,265,14,536,35,3,587,19,459,23,0,509,24,574,41,0,637,44,500,39,5,579,46,497,26,5,577,116,452,44,0,615,92,100,9,0,206,389,4427,296,16,5134,3,553,32,0,588,55,1063,62,3,1185,16,531,34,5,586,21,517,30,0,564,30,998,60,0,1090,43,862,55,3,956,44,1048,65,0,1156,79,904,66,6,1054,102,838,48,10,998,216,807,83,0,1106,151,184,22,0,359,773,8301,548,34,9649
502011024,7,456,33,3,494,41,1072,51,0,1166,14,558,43,3,618,9,442,28,0,481,23,617,45,7,686,15,795,57,0,862,22,944,63,3,1031,47,895,49,10,995,87,935,64,7,1093,95,508,43,0,643,55,116,25,0,194,414,7333,489,32,8271,4,449,36,0,482,26,1039,45,0,1107,3,551,30,6,595,6,395,20,6,424,13,788,47,4,849,26,1053,64,3,1145,30,1150,73,6,1259,58,1096,69,22,1246,64,1072,82,7,1225,92,571,50,4,717,81,143,23,0,249,399,8306,537,58,9298,8,901,67,4,980,67,2115,96,0,2273,17,1114,69,12,1215,18,833,46,7,904,34,1402,88,11,1535,38,1841,122,4,2010,57,2093,132,8,2293,102,1993,119,28,2241,149,2005,148,11,2319,186,1083,92,3,1363,131,256,52,0,442,808,15642,1027,94,17574
502011025,4,202,30,0,233,17,345,18,3,381,10,201,18,3,228,12,238,32,0,285,24,466,65,0,553,16,428,63,13,516,31,459,65,9,560,44,516,58,11,630,55,483,63,11,616,67,241,41,0,349,38,67,20,0,129,323,3642,474,51,4481,4,179,16,3,202,3,344,32,3,380,4,192,21,3,223,7,251,26,3,286,9,481,70,13,568,19,407,38,8,474,41,501,64,11,617,63,575,72,12,725,54,504,60,10,625,81,316,47,0,440,117,90,26,0,228,403,3846,462,56,4766,6,382,40,3,435,22,686,55,3,762,10,396,37,5,454,18,494,59,3,573,36,949,127,13,1123,35,840,102,17,988,73,965,123,17,1181,105,1091,129,28,1353,111,986,126,17,1239,151,550,87,0,796,154,164,38,0,360,721,7493,931,107,9253
502011026,0,157,3,0,157,22,264,19,0,304,7,149,12,0,168,6,123,8,0,135,3,201,18,0,221,6,255,19,0,278,12,309,21,0,339,21,359,26,0,399,40,394,28,0,465,27,173,18,0,212,9,26,3,0,43,149,2407,172,5,2731,0,127,6,0,133,12,311,22,0,342,3,144,5,3,161,0,147,11,3,160,5,233,16,0,252,8,267,18,4,297,9,348,20,0,385,20,413,33,5,475,22,339,28,0,391,26,146,7,0,184,17,23,3,0,41,119,2491,183,12,2815,4,275,11,0,295,29,577,37,0,648,6,291,21,3,326,7,266,18,3,296,4,433,30,0,471,11,527,41,6,575,20,655,47,0,719,35,771,59,6,876,67,736,61,0,858,55,313,22,0,398,27,53,4,0,80,267,4896,355,20,5546
502011027,16,645,30,0,692,61,1251,58,4,1381,11,568,29,0,611,3,479,23,3,511,16,998,68,3,1081,22,947,58,0,1022,22,954,44,0,1022,26,667,31,10,738,46,550,36,3,639,51,273,19,7,347,61,65,13,0,138,335,7395,413,33,8182,4,622,20,0,650,27,1254,65,5,1348,10,538,15,8,573,8,498,31,0,539,14,1239,62,12,1325,15,1125,70,3,1208,31,1057,59,9,1158,51,785,39,16,887,51,573,34,5,660,85,290,33,0,405,112,79,25,0,215,407,8062,462,49,8982,17,1269,58,0,1344,86,2512,132,6,2726,23,1106,49,10,1186,14,982,55,3,1048,24,2237,130,14,2410,33,2068,123,4,2230,58,2017,103,8,2179,81,1453,71,24,1626,104,1117,70,12,1299,133,560,51,7,751,172,140,45,0,353,742,15458,877,87,17160
502011028,3,227,23,0,250,19,445,33,0,501,16,231,15,0,264,4,218,15,0,238,13,385,29,0,425,23,394,28,0,441,32,471,37,0,537,57,528,38,0,625,65,558,50,0,677,87,322,26,0,437,55,79,15,0,149,379,3850,308,11,4543,0,236,20,0,252,11,455,40,0,505,11,261,15,0,293,13,247,19,0,271,13,424,22,0,461,21,456,30,9,518,43,565,47,0,661,69,639,54,3,772,73,655,47,3,782,125,364,42,0,534,126,98,16,0,237,499,4402,362,24,5287,3,459,44,0,504,33,902,72,0,1007,29,495,32,5,550,15,462,37,0,512,34,803,52,0,887,38,856,57,6,963,71,1039,83,0,1195,126,1167,99,4,1394,137,1215,94,8,1461,209,683,73,0,969,186,175,30,0,388,879,8252,670,29,9830
502011029,8,293,27,0,326,39,584,64,0,690,9,249,22,0,284,7,196,17,3,227,11,428,43,0,482,15,438,49,3,505,23,521,46,0,586,39,449,54,0,544,49,410,58,0,510,48,241,39,0,331,30,54,12,0,99,273,3870,432,11,4575,6,244,28,0,275,22,611,53,0,687,6,307,18,0,331,4,200,17,3,228,7,462,36,0,515,16,535,45,0,597,24,556,44,0,623,32,479,53,3,564,48,437,36,3,520,60,233,42,0,333,48,50,7,0,102,263,4111,386,16,4778,13,537,54,0,597,59,1198,120,0,1374,19,554,38,0,609,13,403,37,3,449,20,896,81,3,995,27,975,95,4,1104,46,1069,91,3,1208,66,925,109,4,1106,92,843,98,3,1034,108,476,80,0,662,76,99,23,0,205,532,7981,820,27,9350
503011030,0,110,4,0,118,5,557,32,6,591,0,272,8,6,287,3,207,4,5,213,3,140,18,4,158,0,239,7,3,254,3,498,24,3,527,3,402,13,0,412,5,228,8,3,246,19,206,12,0,236,35,77,3,0,114,71,2928,126,26,3155,0,118,0,0,120,3,475,8,7,497,3,291,5,12,314,3,196,3,9,206,0,131,16,7,151,0,334,15,3,352,5,558,27,5,594,7,347,26,3,376,9,276,12,3,303,39,250,11,3,306,57,87,4,0,146,126,3063,128,48,3373,0,232,4,0,237,11,1030,40,15,1095,3,559,18,20,602,4,397,7,11,426,3,269,26,9,305,0,576,20,6,601,6,1057,47,9,1118,9,740,33,4,790,13,510,19,8,549,55,461,27,3,542,91,158,12,0,262,198,5987,255,77,6523
503011031,0,161,12,0,173,7,426,28,0,462,3,286,20,14,318,3,264,24,4,300,3,450,48,5,508,3,336,42,3,389,5,401,44,3,450,6,366,50,5,425,13,348,34,4,403,19,218,34,0,272,44,62,10,0,118,120,3318,344,46,3821,0,131,7,3,137,3,403,20,4,429,0,242,21,5,274,3,229,25,24,279,4,459,53,3,522,3,386,30,3,426,9,516,43,8,574,18,441,49,7,514,26,436,42,6,506,42,281,44,4,371,128,119,31,0,280,241,3648,368,66,4318,0,294,20,3,309,11,822,49,5,894,7,532,35,16,588,7,498,50,31,579,12,912,99,11,1029,5,723,76,9,812,15,913,87,7,1025,29,804,92,10,938,39,784,76,13,913,62,500,81,4,649,172,188,39,3,399,357,6963,711,107,8143
503011032,3,167,10,4,182,14,464,19,0,498,3,206,12,6,234,3,175,11,4,198,7,369,39,5,415,0,372,15,11,402,3,463,25,5,495,6,448,30,3,492,13,332,21,0,364,16,136,9,3,158,31,31,6,0,63,106,3162,188,40,3500,0,155,5,3,166,12,447,31,5,494,0,211,11,7,235,3,179,14,9,204,0,429,31,17,482,3,390,20,7,415,4,532,35,7,579,8,452,24,3,494,11,328,22,3,359,30,133,10,0,175,70,61,8,0,144,136,3322,221,71,3748,3,319,17,3,345,22,910,54,5,986,6,421,22,18,466,4,352,22,14,403,7,797,71,22,900,3,767,34,14,823,5,999,57,11,1073,21,905,61,10,986,24,655,39,3,724,50,269,13,0,338,99,95,17,0,212,250,6480,407,107,7250
503011033,3,223,5,0,230,14,738,31,3,783,8,274,10,9,299,3,240,10,6,259,4,246,9,4,265,3,411,19,3,435,3,594,19,3,626,9,440,15,4,468,9,237,5,0,249,10,102,6,0,126,17,54,0,0,77,82,3570,128,30,3811,0,213,10,0,225,12,656,15,3,690,3,265,6,8,281,7,185,0,19,209,0,260,7,9,280,3,561,21,4,587,3,658,14,3,675,11,454,11,3,483,12,224,6,7,245,21,142,8,3,175,42,56,3,0,103,125,3683,111,55,3970,5,438,13,3,459,24,1396,46,5,1466,11,540,16,12,583,14,427,11,20,472,5,510,18,9,547,8,971,37,3,1026,10,1251,36,5,1300,18,896,27,5,949,17,462,9,4,494,35,244,15,4,297,63,117,4,0,182,205,7250,239,84,7775
503011034,3,211,19,0,231,6,523,25,10,560,8,312,10,5,334,6,266,13,8,291,3,497,56,16,565,4,480,43,3,531,16,628,48,9,699,22,531,47,5,606,20,413,50,7,496,19,190,40,0,243,18,39,28,0,87,121,4093,378,58,4647,3,196,7,0,210,5,790,26,6,827,7,517,13,19,554,3,291,14,14,322,5,622,84,9,728,11,569,37,6,629,9,741,47,3,805,13,556,44,9,625,23,435,57,10,527,29,215,56,0,294,45,58,50,0,147,162,4988,433,85,5667,4,408,25,5,440,11,1310,53,12,1388,11,831,22,25,891,10,557,32,25,619,11,1116,140,23,1297,15,1050,79,9,1161,25,1369,93,10,1499,32,1091,86,15,1230,46,851,113,14,1022,43,406,89,0,546,61,99,72,0,237,281,9085,806,138,10320
503011035,3,369,21,6,400,24,1124,41,18,1208,7,854,28,30,921,8,1263,71,157,1494,12,1092,57,56,1221,13,844,39,29,929,18,999,49,22,1086,31,898,67,15,1017,36,783,78,20,919,66,369,61,3,499,80,100,40,0,213,299,8704,548,362,9912,5,364,10,0,386,12,1062,28,25,1124,4,889,38,63,994,4,1125,54,201,1382,14,908,49,35,1002,9,987,50,24,1072,15,1105,61,28,1205,30,996,67,28,1124,39,848,79,21,987,74,394,63,6,531,162,136,76,3,378,356,8813,574,432,10175,12,733,35,14,784,34,2187,70,45,2332,7,1750,66,93,1915,9,2384,123,356,2880,23,2000,109,88,2225,17,1829,89,55,1998,38,2098,109,50,2291,60,1902,129,47,2139,78,1634,155,38,1906,142,761,122,10,1034,236,234,115,3,594,654,17510,1127,789,20087
503011036,4,211,4,0,223,15,722,31,0,767,6,420,13,3,440,0,273,7,3,289,11,306,33,3,352,11,447,26,3,483,8,519,35,4,563,11,453,29,6,497,24,368,20,0,411,9,178,8,4,202,15,46,5,0,68,111,3938,217,30,4295,0,182,8,0,191,7,531,24,0,569,5,290,12,4,314,0,181,7,10,196,9,314,18,15,350,8,479,33,3,520,5,653,37,3,703,18,557,31,3,609,15,392,19,7,434,25,209,22,3,263,50,102,12,0,160,143,3893,234,44,4317,4,401,18,3,420,28,1251,55,3,1341,10,706,25,8,752,0,453,17,12,483,16,618,50,14,703,12,927,62,3,1007,19,1177,70,6,1266,28,1010,59,7,1107,36,764,44,5,846,36,390,34,3,465,62,141,24,0,229,259,7835,446,75,8613
503021037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,3,0,16
503021038,6,363,19,0,383,11,686,34,3,736,3,201,7,5,218,9,248,20,0,277,5,888,62,7,968,3,785,41,3,832,9,680,41,3,729,12,481,16,4,510,15,230,18,0,270,22,79,4,0,98,18,27,4,0,45,110,4661,265,34,5070,0,355,11,0,368,0,597,22,0,628,5,237,46,4,296,4,313,26,11,354,3,949,51,15,1013,10,894,52,3,962,10,690,32,7,727,10,467,17,7,501,26,239,19,7,285,36,130,10,0,179,59,51,4,0,114,162,4919,295,59,5432,6,716,36,0,756,11,1285,59,6,1363,5,443,54,9,518,9,564,44,19,628,8,1834,112,29,1978,10,1678,90,8,1789,21,1365,71,9,1458,22,950,34,11,1016,41,470,43,9,560,56,201,17,0,273,77,81,4,0,155,272,9582,558,92,10496
503021039,3,435,30,0,465,20,696,42,9,761,6,351,24,5,387,9,505,50,26,582,11,1359,137,16,1525,9,1021,93,4,1128,10,996,80,3,1088,24,843,56,8,931,49,501,54,3,611,50,175,30,0,259,62,62,24,0,151,252,6943,609,71,7881,3,365,12,3,385,14,737,48,6,803,10,482,33,12,527,4,639,66,36,741,10,1383,142,30,1562,14,1088,91,9,1206,15,1030,69,5,1125,32,925,58,15,1024,50,486,50,3,591,91,228,38,3,359,136,84,37,0,250,374,7447,650,110,8584,3,801,37,3,843,26,1434,93,12,1568,15,831,52,13,911,9,1139,111,57,1320,16,2742,287,45,3087,23,2109,188,10,2332,28,2030,148,5,2213,58,1761,114,17,1956,105,985,103,10,1200,144,403,69,3,617,196,141,62,0,402,634,14385,1261,184,16458
503021040,0,247,16,0,263,10,448,18,0,472,3,163,4,5,178,0,235,13,10,261,3,730,43,14,796,7,607,37,4,655,25,563,41,7,640,22,401,34,0,459,28,240,13,3,281,54,108,11,0,168,40,32,7,0,80,190,3770,235,50,4257,3,210,11,0,229,8,401,20,3,433,3,180,10,10,195,3,248,25,9,292,3,746,54,12,823,10,625,32,4,676,8,577,31,4,623,31,403,37,5,479,41,205,8,4,261,99,139,8,4,256,114,50,11,0,173,334,3793,253,55,4437,3,459,30,0,486,14,850,34,3,907,10,342,11,11,374,11,485,35,25,555,9,1481,101,31,1619,22,1229,73,8,1325,36,1143,73,12,1264,53,804,69,8,939,68,441,24,9,543,154,250,27,4,425,148,81,18,0,250,523,7564,493,105,8691
503021041,8,453,116,33,607,11,384,87,52,535,0,327,58,90,484,4,1304,272,265,1854,24,5158,1128,514,6819,21,2548,736,285,3584,35,1833,685,246,2796,62,1515,488,201,2266,88,824,232,82,1226,86,295,94,18,498,50,63,31,3,143,385,14696,3934,1789,20802,3,479,97,32,609,3,410,62,69,545,5,362,63,103,530,12,1542,340,369,2264,22,4831,998,524,6380,17,1937,489,231,2678,34,1331,386,214,1970,40,1190,300,172,1712,55,730,195,77,1051,98,245,80,17,446,130,46,31,0,208,433,13105,3041,1815,18401,10,933,206,65,1214,11,792,154,117,1078,7,689,125,195,1014,18,2848,616,631,4112,43,9988,2129,1037,13204,38,4478,1227,513,6259,72,3165,1068,457,4765,100,2710,796,373,3976,139,1555,426,161,2280,189,542,178,37,944,182,109,59,8,352,820,27801,6978,3599,39200
503021042,9,414,55,8,492,24,817,46,16,906,9,330,18,10,365,7,434,19,18,481,18,1154,98,15,1286,21,957,76,21,1077,35,888,71,13,1011,46,807,78,10,940,61,700,69,4,838,69,299,31,3,406,59,68,15,0,147,364,6885,585,117,7951,7,416,56,0,483,17,779,61,15,878,7,364,19,13,403,3,473,36,22,542,11,1282,153,31,1477,13,1091,113,23,1240,17,1027,66,16,1126,39,890,77,29,1038,52,709,69,10,844,93,360,48,3,507,130,99,28,0,261,396,7503,734,169,8804,18,833,116,8,974,39,1600,108,33,1781,10,696,43,18,764,11,904,59,41,1020,32,2439,248,49,2769,38,2056,193,38,2323,54,1922,134,26,2135,79,1703,149,42,1979,117,1411,143,14,1681,164,661,81,3,920,192,169,44,3,405,762,14383,1320,288,16754
503021043,0,574,49,6,634,26,963,50,7,1045,6,351,28,6,391,12,491,49,16,570,18,1640,153,28,1846,12,1309,101,5,1421,4,872,65,5,947,22,759,52,22,855,49,485,69,8,611,55,213,46,0,319,66,65,15,0,155,282,7714,685,113,8794,3,499,32,3,543,14,910,42,3,975,9,312,23,8,351,3,544,43,30,622,14,1737,185,38,1972,9,1318,120,12,1457,30,942,66,18,1057,38,778,70,40,924,51,531,66,13,659,122,286,61,3,477,178,131,37,0,349,480,7985,742,168,9376,8,1079,83,8,1170,42,1875,93,14,2022,15,664,51,17,741,20,1036,97,43,1194,35,3375,340,67,3812,27,2624,222,18,2881,38,1807,131,23,2002,60,1538,117,64,1780,94,1010,138,26,1265,177,494,113,7,792,249,201,52,0,506,761,15701,1430,280,18168
504011044,7,497,25,3,536,33,836,39,3,911,11,395,12,6,422,4,385,25,3,428,22,982,53,12,1062,20,981,54,5,1063,30,938,54,5,1026,53,726,51,10,837,38,515,34,3,587,63,247,27,0,340,36,54,7,0,97,327,6551,387,50,7306,3,437,25,0,457,19,749,32,3,798,3,376,29,7,412,9,347,21,8,383,24,1066,62,12,1162,19,1049,52,6,1125,44,906,60,5,1015,49,814,53,10,932,52,584,38,6,682,98,282,30,3,413,121,89,12,0,229,441,6698,414,59,7606,14,932,49,6,996,50,1583,73,3,1708,15,769,42,6,831,10,738,51,11,807,48,2042,112,21,2226,39,2032,105,10,2185,76,1847,112,10,2046,99,1537,107,20,1767,87,1095,74,12,1273,169,524,63,3,752,160,141,17,0,324,762,13248,799,106,14916
504011045,3,713,49,0,772,43,1157,64,0,1267,14,548,21,7,593,7,628,42,5,691,12,1680,87,14,1801,24,1616,91,4,1734,52,1402,89,5,1551,55,1069,66,14,1205,86,628,50,17,781,97,345,37,0,478,123,90,27,3,243,515,9890,626,73,11110,4,697,45,6,745,26,1120,64,0,1205,9,536,26,11,582,10,559,31,12,611,10,1771,92,29,1913,24,1715,109,13,1855,32,1406,79,18,1538,59,1147,77,26,1316,92,681,54,9,841,179,406,59,7,649,287,105,54,0,445,738,10151,692,131,11706,10,1410,98,8,1522,66,2282,128,3,2474,26,1089,51,15,1173,21,1195,71,14,1302,29,3459,184,50,3715,45,3330,199,18,3593,87,2808,170,21,3085,110,2218,147,45,2518,176,1311,104,26,1620,283,748,92,3,1126,409,196,78,4,687,1258,20036,1318,204,22819
504011046,3,346,22,0,376,9,432,23,0,467,3,146,16,3,166,4,391,48,12,443,7,1507,126,26,1664,14,991,101,4,1110,19,641,55,5,718,36,536,54,9,632,16,393,47,13,467,13,88,24,3,133,21,35,27,0,77,146,5506,531,69,6252,0,322,28,0,353,7,421,22,3,455,0,166,13,3,177,5,436,32,11,486,13,1547,148,15,1722,21,890,55,13,973,11,570,48,20,647,28,519,51,29,619,26,320,31,10,391,37,133,41,3,214,42,27,50,0,119,176,5354,522,105,6155,3,669,47,0,722,17,853,47,6,923,3,312,23,3,346,4,825,83,17,932,16,3057,275,44,3389,33,1884,150,13,2081,30,1215,100,20,1368,59,1051,104,36,1253,43,715,76,24,857,55,223,64,4,341,59,58,72,0,196,327,10866,1050,170,12405
504011047,7,597,24,3,636,41,1079,64,10,1189,4,587,37,6,640,15,731,38,11,793,14,1716,108,29,1870,21,1321,89,15,1448,24,1239,70,13,1346,60,981,70,19,1125,66,798,58,18,944,102,444,34,0,586,56,90,8,0,159,424,9580,609,125,10730,6,569,39,4,619,12,987,56,8,1059,9,536,33,7,582,8,658,53,23,739,14,1722,89,35,1866,29,1316,78,10,1436,47,1226,80,30,1374,69,1071,57,42,1242,77,914,74,27,1098,132,470,38,3,644,110,103,34,0,245,508,9580,629,195,10905,15,1169,65,4,1249,53,2059,115,19,2249,16,1121,65,14,1224,26,1387,90,31,1533,34,3437,198,69,3738,52,2645,170,19,2891,67,2462,149,39,2720,122,2051,124,60,2370,144,1716,130,43,2043,233,909,73,8,1226,164,195,39,3,398,932,19154,1234,318,21635
504011048,3,198,10,0,208,17,399,24,0,444,7,233,15,4,259,9,243,12,3,270,10,414,30,9,458,7,409,11,0,432,7,455,19,0,488,11,524,27,4,565,23,411,27,0,469,30,184,15,0,227,27,30,3,0,57,141,3511,186,26,3869,0,148,11,0,163,10,415,10,0,438,4,232,6,3,246,6,216,8,0,228,9,407,24,4,448,7,439,14,4,465,14,483,27,8,529,20,610,29,4,669,39,426,25,3,495,63,170,16,0,256,70,35,14,0,114,247,3577,188,29,4045,3,349,14,0,370,26,815,35,3,879,7,468,20,5,501,13,456,16,6,491,17,827,51,15,902,10,852,24,4,890,24,935,48,6,1017,31,1130,56,8,1233,64,838,54,4,959,92,355,31,4,478,94,62,15,0,179,391,7091,375,58,7912
504021049,0,72,4,0,78,5,201,17,0,223,0,97,27,0,124,0,66,251,0,316,0,116,664,0,782,0,127,540,0,667,4,212,284,0,502,7,187,112,0,307,5,124,48,0,184,5,34,15,0,57,3,10,0,0,14,45,1238,1973,3,3254,0,53,3,0,62,3,159,18,0,179,3,77,11,0,87,0,63,7,0,71,0,114,8,3,124,6,171,29,0,201,5,236,16,3,260,9,191,6,3,209,4,112,17,0,132,8,37,7,0,55,4,6,0,0,15,55,1223,113,12,1406,0,129,9,0,140,13,358,31,0,406,5,172,39,0,216,0,129,252,3,387,4,237,673,3,908,5,295,568,0,872,11,448,302,3,762,14,374,123,3,521,13,230,65,3,312,18,71,22,0,108,10,18,3,0,31,101,2458,2084,15,4663
