SA2_MAINCODE_2016,P_Sol_sp_En_T_2006_2010,P_Sol_sp_En_T_2011,P_Sol_sp_En_T_2012,P_Sol_sp_En_T_2013,P_Sol_sp_En_T_2014,P_Sol_sp_En_T_2015,P_Sol_sp_En_T_2016,P_Sol_sp_En_T_Yr_arr_ns,P_Sol_sp_En_T_T,P_LanProf_En_ns_Bef_2000,P_LanProf_En_ns_2000_2005,P_LanProf_En_ns_2006_2010,P_LanProf_En_ns_2011,P_LanProf_En_ns_2012,P_LanProf_En_ns_2013,P_LanProf_En_ns_2014,P_LanProf_En_ns_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_T,P_T_B_2000,P_T_2000_2005,P_T_2006_2010,P_T_2011,P_T_2012,P_T_2013,P_T_2014,P_T_2015,P_T_2016,P_T_Yr_arrival_ns,P_T_T
507051187,188,38,40,33,11,29,4,27,671,3,0,0,0,0,0,0,0,0,10,16,1764,478,906,213,197,136,88,76,15,154,4036
507051188,262,61,72,76,49,48,30,22,1200,8,0,0,0,0,0,0,0,0,5,15,3363,375,692,155,202,162,131,111,44,131,5375
507051189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507051190,105,27,31,12,31,20,18,21,481,6,0,0,0,0,0,0,0,0,4,6,2087,222,469,104,128,83,81,51,24,128,3368
507051191,239,56,47,26,25,25,9,14,695,4,0,0,0,0,0,0,0,0,3,12,1872,683,1823,351,486,300,252,216,55,129,6173
507051192,247,54,64,56,36,28,23,16,837,0,0,0,0,0,0,0,0,0,8,10,1921,319,798,191,190,131,104,79,42,80,3853
507051193,104,27,30,38,15,17,13,15,460,0,0,0,0,0,0,0,0,0,3,5,1721,216,438,132,131,92,55,47,25,67,2927
509011225,248,40,52,71,26,49,27,61,911,8,0,0,0,0,0,0,0,0,8,18,1908,202,422,66,121,98,58,69,36,155,3127
509011226,14,0,4,0,0,0,3,5,68,0,0,0,0,0,0,0,0,0,0,0,419,48,39,5,9,10,8,0,3,19,557
509011227,49,3,7,12,3,5,0,3,138,6,0,0,0,0,0,0,0,0,0,6,571,81,108,26,18,22,15,7,5,19,871
509011228,28,7,3,5,3,11,0,4,147,0,0,0,0,0,0,0,0,0,0,0,1035,85,77,13,11,8,10,11,7,39,1287
509011229,18,3,13,10,4,4,3,6,83,0,0,0,0,0,0,0,0,0,3,4,149,35,45,11,28,21,20,27,4,19,352
509011230,241,26,34,40,29,20,16,21,503,0,3,0,0,0,0,0,0,0,0,4,298,66,273,39,45,45,34,33,20,42,896
509011231,29,3,0,9,3,14,8,3,100,3,0,0,0,0,0,0,0,0,0,10,306,42,79,6,5,17,12,25,15,23,529
509011232,6,0,3,3,0,0,7,3,70,0,0,0,0,0,0,0,0,0,61,61,449,40,32,7,6,8,0,0,7,74,614
509011233,199,13,31,21,26,11,12,18,518,3,0,0,0,0,0,0,0,0,3,3,1001,127,306,29,34,32,31,21,17,54,1659
509011234,62,9,17,25,15,9,3,10,238,0,0,0,0,0,0,0,0,0,6,13,648,65,109,20,24,29,23,13,9,42,979
509011235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509021236,13,4,5,0,4,3,3,0,129,0,0,0,0,0,0,0,0,0,0,0,761,193,178,7,21,14,19,7,4,40,1230
509021237,27,21,20,14,17,29,11,5,172,0,0,0,0,0,0,0,0,0,0,0,281,31,52,33,30,22,18,33,18,16,528
509021238,16,7,11,13,11,7,0,0,70,0,0,0,0,0,0,0,0,0,0,3,264,37,43,14,12,15,11,15,0,25,432
509021239,86,18,25,16,24,58,64,76,503,8,0,0,0,0,0,0,0,0,3,11,963,122,174,39,45,25,41,68,65,139,1683
509021240,37,9,15,26,17,49,35,40,267,0,0,0,0,0,0,0,0,0,0,0,338,48,89,18,31,31,34,65,37,64,755
509021241,33,19,28,41,17,7,7,20,209,0,0,0,0,0,0,0,0,0,0,0,290,69,66,31,60,62,33,13,13,34,666
509021242,41,3,3,9,0,4,0,7,96,0,0,0,0,0,0,0,0,0,0,0,291,61,112,32,18,24,16,16,4,20,589
509021243,132,23,30,31,30,24,11,19,452,3,0,0,0,0,0,0,0,0,425,429,1100,109,224,47,71,52,47,36,15,506,2208
509021244,9,0,3,0,3,3,0,4,109,4,0,0,0,0,0,0,0,0,0,6,732,52,48,14,11,5,3,9,5,42,929
509021245,26,11,9,4,3,3,0,3,118,3,0,0,0,0,0,0,0,0,0,6,655,60,62,17,16,7,9,11,5,42,881
509031246,19,0,3,0,6,3,0,4,78,0,0,0,0,0,0,0,0,0,0,3,301,19,53,3,8,0,8,11,5,18,431
509031247,28,3,12,10,4,14,3,4,117,0,0,0,0,0,0,0,0,0,0,0,257,49,74,25,24,14,8,27,9,19,492
509031248,50,23,0,4,0,3,3,0,121,0,0,0,0,0,0,0,0,0,0,0,276,48,111,33,27,15,6,5,4,15,546
509031249,86,19,13,19,13,19,9,3,252,0,0,0,0,0,0,0,0,0,0,3,352,45,120,27,27,31,19,31,16,27,693
509031250,13,3,4,3,0,7,0,3,66,0,0,0,0,0,0,0,0,0,0,0,381,28,46,17,18,9,3,15,8,28,553
510011262,251,63,50,48,82,106,53,66,966,4,0,0,0,0,5,0,0,0,8,20,1507,193,522,110,135,99,123,144,68,158,3062
510011263,69,11,14,21,26,26,19,23,269,0,0,0,0,0,0,0,0,0,0,4,412,58,132,29,39,33,41,40,25,49,855
510011264,22,8,10,17,3,21,6,11,116,0,0,0,0,0,0,0,0,0,0,0,138,21,41,15,16,21,15,33,11,20,314
510011265,96,17,26,37,41,45,25,32,439,0,0,0,0,0,0,0,0,0,3,3,705,85,206,51,53,57,62,66,45,70,1410
510011266,11,0,0,0,5,8,0,5,68,3,0,0,0,0,0,0,0,0,0,3,307,26,35,0,8,4,3,12,0,14,417
510021267,251,45,64,31,11,10,0,6,666,3,3,0,0,0,0,0,0,0,0,9,1110,318,661,161,182,85,45,28,9,53,2656
510021268,163,31,33,43,21,37,22,7,446,0,0,0,0,0,0,0,3,0,0,3,405,104,307,62,97,69,47,54,23,35,1193
510021269,156,19,32,23,23,20,13,21,428,0,0,0,0,0,0,0,0,0,0,4,483,123,338,83,79,45,45,44,18,54,1309
510021270,274,65,93,100,80,90,28,31,999,0,0,3,0,0,0,0,0,0,3,8,537,177,527,131,166,159,143,120,38,71,2075
510031271,716,130,160,102,77,55,26,35,2132,12,0,9,0,0,0,0,0,0,3,21,2559,858,1821,448,487,251,165,110,49,140,6885
510031272,541,120,148,101,128,120,80,44,1617,6,0,0,0,0,0,0,0,0,0,12,1122,360,1002,246,296,208,206,149,100,151,3825
510031273,144,22,30,31,19,33,12,19,428,3,3,0,0,0,0,0,0,0,7,16,561,145,287,62,74,57,29,44,16,67,1343
511011274,87,19,17,13,20,6,11,17,316,3,0,0,0,0,0,0,0,0,0,3,849,161,217,55,50,54,35,30,12,79,1545
511011275,33,8,12,3,16,12,6,3,142,0,0,0,0,0,0,0,0,0,0,0,278,48,77,22,33,20,36,15,12,15,561
511021276,77,9,28,21,22,23,24,37,480,3,0,0,0,0,0,0,0,0,0,3,655,63,122,20,48,36,33,32,31,74,1114
511021277,47,19,19,24,18,22,22,15,305,3,3,0,0,0,0,0,0,0,0,9,1010,89,148,46,39,46,46,46,41,64,1575
511031278,131,28,41,17,14,16,14,11,392,3,0,0,0,0,0,0,0,0,7,14,504,105,342,96,95,33,39,33,20,48,1314
511031279,530,156,184,127,100,105,56,35,1633,0,0,3,0,0,0,0,0,0,0,5,950,363,1034,293,350,227,177,160,88,113,3748
511031280,237,89,59,52,32,29,18,21,709,0,0,0,0,0,0,0,0,0,0,4,611,224,550,203,166,120,62,57,35,65,2088
511031281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511031282,75,19,9,15,3,6,14,10,246,0,0,0,0,0,0,0,0,0,0,3,469,106,221,74,54,32,25,31,24,61,1085
511031283,103,18,32,15,8,3,7,5,320,0,0,0,0,0,0,0,0,0,0,0,554,160,299,77,104,38,40,22,21,46,1366
511031284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511041285,154,53,49,73,49,59,16,31,703,4,0,0,0,0,0,0,0,3,0,4,1043,121,252,79,80,99,65,81,28,88,1939
511041286,57,21,31,8,7,6,15,3,269,0,0,0,0,0,0,0,0,0,12,13,481,75,111,47,41,7,15,11,11,37,836
511041287,72,26,25,12,14,13,3,11,253,0,0,0,0,0,0,0,0,0,0,3,513,72,183,56,66,24,26,23,3,28,1013
511041288,255,68,62,51,52,40,19,22,724,4,0,0,0,0,0,0,0,0,0,3,646,170,435,127,127,96,67,60,24,53,1804
511041289,5,0,0,0,0,0,3,4,60,0,0,3,0,0,0,0,0,0,0,3,393,32,52,10,8,5,3,0,0,16,522
511041290,94,10,10,11,12,7,0,5,255,0,0,0,0,0,0,0,0,0,0,5,494,108,225,49,56,28,27,24,3,22,1031
511041291,18,13,11,11,10,12,18,5,128,0,0,0,0,0,0,0,0,0,0,0,333,39,63,26,37,22,12,18,26,23,604
511041292,33,9,7,7,11,5,0,3,149,0,0,0,0,0,0,0,0,0,0,0,684,54,58,17,14,19,19,13,4,28,922
597979799,49,12,21,17,18,10,4,5,242,0,0,0,0,0,0,0,0,0,0,3,443,107,177,32,46,31,41,31,14,33,954
