SA2_MAINCODE_2016,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_v,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_v,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_v,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_v,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Total_OS_v,P_Total_Total
507041175,312,516,266,156,189,70,29,1533,151,338,224,150,159,53,13,1090,78,163,104,91,116,72,9,626,29,75,39,22,88,67,3,313,2275,2488,1174,888,1572,491,151,9045
507041176,69,157,96,59,44,15,13,458,38,96,93,49,66,20,10,368,23,35,27,19,64,14,0,178,9,10,3,7,55,21,0,97,737,819,451,294,582,143,62,3080
507041177,306,584,254,120,214,80,14,1576,158,360,213,133,247,82,6,1191,88,156,122,92,219,104,0,780,51,79,34,26,115,145,0,454,2732,3274,1352,954,1784,775,86,10964
507041178,321,615,286,169,237,79,47,1754,185,378,257,197,234,74,34,1371,105,201,146,105,210,74,3,850,76,87,52,48,211,48,0,518,2917,3291,1549,1111,2228,631,213,11939
507041179,183,318,174,121,118,28,35,972,127,235,200,137,165,37,17,922,75,100,82,47,175,45,4,524,37,37,26,16,216,33,3,365,1507,1638,862,665,1394,225,122,6420
507041180,359,635,378,212,192,39,15,1830,112,297,197,175,151,39,14,987,43,92,63,54,88,17,10,365,27,30,4,13,51,14,0,136,2196,2532,1255,913,1536,223,81,8741
507041181,305,663,315,174,229,78,9,1777,193,365,231,193,245,64,3,1307,106,216,163,174,252,123,9,1038,63,99,58,39,164,136,4,570,3109,3760,1704,1299,2045,815,104,12836
507041182,293,564,281,184,300,144,18,1782,155,330,234,184,292,187,20,1411,90,184,118,118,218,247,6,974,46,61,29,25,147,243,0,554,2589,2832,1211,940,2547,1304,285,11705
507041183,85,124,53,27,94,37,3,420,28,79,33,30,102,35,4,309,35,46,24,15,111,42,0,275,15,20,13,3,118,21,0,183,864,994,405,331,851,316,26,3787
507041184,169,332,170,148,111,24,21,978,84,183,131,76,117,23,15,626,34,54,38,35,67,4,3,232,12,14,13,3,32,8,0,81,1223,1339,654,521,944,129,84,4906
